year,path,table,rows,weather_columns
2025,weather/output/r3b4_monte_carlo_action_envelope_v1.csv,CSV,288,
2025,weather/output/r3c_final_monte_carlo_action_envelope_v1.csv,CSV,288,
2025,weather/output/r3c_final_monte_carlo_action_envelope_v2.csv,CSV,288,
2019,weather/output/repeat_attempt_delta_baseline_predictions_v1.csv,CSV,195,
2018,weather/output/repeat_delta_regime_row_diagnostics_v1.csv,CSV,39,current_forecast_wind_direction_sin | current_forecast_wind_direction_cos | baseline_forecast_wind_direction_sin | baseline_forecast_wind_direction_cos | delta_forecast_wind_direction_sin | delta_forecast_wind_direction_cos | current_relative_humidity_pct | baseline_relative_humidity_pct | delta_relative_humidity_pct | current_wind_speed_10m_ms | baseline_wind_speed_10m_ms | delta_wind_speed_10m_ms | current_pressure_hpa | baseline_pressure_hpa | delta_pressure_hpa | current_cloud_cover_pct | baseline_cloud_cover_pct | delta_cloud_cover_pct | current_shortwave_radiation_wm2 | baseline_shortwave_radiation_wm2 | delta_shortwave_radiation_wm2
2025,weather/output/repeat_delta_regime_row_diagnostics_v1.csv,CSV,39,current_forecast_wind_direction_sin | current_forecast_wind_direction_cos | baseline_forecast_wind_direction_sin | baseline_forecast_wind_direction_cos | delta_forecast_wind_direction_sin | delta_forecast_wind_direction_cos | current_relative_humidity_pct | baseline_relative_humidity_pct | delta_relative_humidity_pct | current_wind_speed_10m_ms | baseline_wind_speed_10m_ms | delta_wind_speed_10m_ms | current_pressure_hpa | baseline_pressure_hpa | delta_pressure_hpa | current_cloud_cover_pct | baseline_cloud_cover_pct | delta_cloud_cover_pct | current_shortwave_radiation_wm2 | baseline_shortwave_radiation_wm2 | delta_shortwave_radiation_wm2
2026,weather/output/repeat_delta_regime_row_diagnostics_v1.csv,CSV,39,current_forecast_wind_direction_sin | current_forecast_wind_direction_cos | baseline_forecast_wind_direction_sin | baseline_forecast_wind_direction_cos | delta_forecast_wind_direction_sin | delta_forecast_wind_direction_cos | current_relative_humidity_pct | baseline_relative_humidity_pct | delta_relative_humidity_pct | current_wind_speed_10m_ms | baseline_wind_speed_10m_ms | delta_wind_speed_10m_ms | current_pressure_hpa | baseline_pressure_hpa | delta_pressure_hpa | current_cloud_cover_pct | baseline_cloud_cover_pct | delta_cloud_cover_pct | current_shortwave_radiation_wm2 | baseline_shortwave_radiation_wm2 | delta_shortwave_radiation_wm2
2018,weather/output/unified_attempt_chronology_constraint_ledger_v1.csv,CSV,142,
2018,weather/output/unified_attempt_chronology_constraint_ledger_v10.csv,CSV,164,
2018,weather/output/unified_attempt_chronology_constraint_ledger_v2.csv,CSV,151,
2018,weather/output/unified_attempt_chronology_constraint_ledger_v3.csv,CSV,153,
2018,weather/output/unified_attempt_chronology_constraint_ledger_v4.csv,CSV,155,
2018,weather/output/unified_attempt_chronology_constraint_ledger_v5.csv,CSV,157,
2018,weather/output/unified_attempt_chronology_constraint_ledger_v6.csv,CSV,158,
2018,weather/output/unified_attempt_chronology_constraint_ledger_v7.csv,CSV,159,
2018,weather/output/unified_attempt_chronology_constraint_ledger_v8.csv,CSV,160,
2018,weather/output/unified_attempt_chronology_constraint_ledger_v9.csv,CSV,162,
2025,weather/track_condition_evidence.csv,CSV,179,
2025,weather/track_condition_source_catalog.csv,CSV,38,
