year,analysis_file,root,car_number,record_index,parent_start_ts,parent_end_ts,parent_start_utc,parent_end_utc,history_count
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,stint,66,1,1558210538.949451,1558210568.962134,2019-05-18T20:15:38.949451+00:00,2019-05-18T20:16:08.962134+00:00,1
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,stint,66,2,1558210598.961412,1558210813.978923,2019-05-18T20:16:38.961412+00:00,2019-05-18T20:20:13.978923+00:00,12
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,stint,66,3,1558211973.97174,1558212573.956534,2019-05-18T20:39:33.971740+00:00,2019-05-18T20:49:33.956534+00:00,9
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,stint,32,0,1558210278.961226,1558210308.955146,2019-05-18T20:11:18.961226+00:00,2019-05-18T20:11:48.955146+00:00,2
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,stint,32,1,1558210333.960168,1558212573.956534,2019-05-18T20:12:13.960168+00:00,2019-05-18T20:49:33.956534+00:00,76
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,stint,24,0,1558207693.9619,1558207748.96441,2019-05-18T19:28:13.961900+00:00,2019-05-18T19:29:08.964410+00:00,3
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,stint,24,1,1558207773.985736,1558212573.956534,2019-05-18T19:29:33.985736+00:00,2019-05-18T20:49:33.956534+00:00,151
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,stint,27,0,1558207393.960866,1558207518.95983,2019-05-18T19:23:13.960866+00:00,2019-05-18T19:25:18.959830+00:00,4
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,stint,27,1,1558207543.964259,1558212573.956534,2019-05-18T19:25:43.964259+00:00,2019-05-18T20:49:33.956534+00:00,3
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,stint,5T,0,1558209748.962636,1558210013.971969,2019-05-18T20:02:28.962636+00:00,2019-05-18T20:06:53.971969+00:00,2
