year,file,page,line_no,raw_line
2019,2019_5565_indycar-topsectiontimes-quals-day1.pdf,17,3,Report: Top Section Times Report NTT IndyCar Series
2019,2019_5565_indycar-topsectiontimes-quals-day1.pdf,17,6,Rank Car Driver C/E/T Time Speed Lap
2019,2019_5565_indycar-topsectiontimes-quals-day1.pdf,18,3,Report: Top Section Times Report NTT IndyCar Series
2019,2019_5565_indycar-topsectiontimes-quals-day1.pdf,18,6,Rank Car Driver C/E/T Time Speed Lap
2019,2019_5565_indycar-topsectiontimes-quals-day1.pdf,19,3,Report: Top Section Times Report NTT IndyCar Series
2019,2019_5565_indycar-topsectiontimes-quals-day1.pdf,19,6,Rank Car Driver C/E/T Time Speed Lap
2019,2019_5565_indycar-topsectiontimes-quals-day1.pdf,20,3,Report: Top Section Times Report NTT IndyCar Series
2019,2019_5565_indycar-topsectiontimes-quals-day1.pdf,20,6,Rank Car Driver C/E/T Time Speed Lap
2019,2019_5565_indycar-topsectiontimes-quals-day1.pdf,21,3,Report: Top Section Times Report NTT IndyCar Series
2019,2019_5565_indycar-topsectiontimes-quals-day1.pdf,21,6,Rank Car Driver C/E/T Time Speed Lap
2019,2019_5565_indycar-topsectiontimes-quals-day1.pdf,22,3,Report: Top Section Times Report NTT IndyCar Series
2019,2019_5565_indycar-topsectiontimes-quals-day1.pdf,22,6,Rank Car Driver C/E/T Time Speed Lap
2019,2019_5565_indycar-topsectiontimes-quals-day1.pdf,23,3,Report: Top Section Times Report NTT IndyCar Series
2019,2019_5565_indycar-topsectiontimes-quals-day1.pdf,23,6,Rank Car Driver C/E/T Time Speed Lap
2019,2019_5565_indycar-topsectiontimes-quals-day1.pdf,24,3,Report: Top Section Times Report NTT IndyCar Series
2019,2019_5565_indycar-topsectiontimes-quals-day1.pdf,24,6,Rank Car Driver C/E/T Time Speed Lap
2019,2019_5565_indycar-topsectiontimes-quals-day1.pdf,25,3,Report: Top Section Times Report NTT IndyCar Series
2019,2019_5565_indycar-topsectiontimes-quals-day1.pdf,25,6,Rank Car Driver C/E/T Time Speed Lap
2019,2019_5565_indycar-topsectiontimes-quals-day1.pdf,26,3,Report: Top Section Times Report NTT IndyCar Series
2019,2019_5565_indycar-topsectiontimes-quals-day1.pdf,26,6,Rank Car Driver C/E/T Time Speed Lap
2019,2019_5565_indycar-topsectiontimes-quals-day1.pdf,27,3,Report: Top Section Times Report NTT IndyCar Series
2019,2019_5565_indycar-topsectiontimes-quals-day1.pdf,27,6,Rank Car Driver C/E/T Time Speed Lap
2019,2019_5565_indycar-topsectiontimes-quals-day1.pdf,28,3,Report: Top Section Times Report NTT IndyCar Series
2019,2019_5565_indycar-topsectiontimes-quals-day1.pdf,28,6,Rank Car Driver C/E/T Time Speed Lap
2019,2019_5565_indycar-topsectiontimes-quals-day1.pdf,29,3,Report: Top Section Times Report NTT IndyCar Series
2019,2019_5565_indycar-topsectiontimes-quals-day1.pdf,29,6,Rank Car Driver C/E/T Time Speed Lap
2019,2019_5565_indycar-topsectiontimes-quals-day1.pdf,30,3,Report: Top Section Times Report NTT IndyCar Series
