anchor_text,url,domain,file_type,relevance_score,matched_keywords
2016 Detroit Race 1,https://ptscin.com/wp-content/uploads/2025/06/DetroitRace1.png,ptscin.com,PAGE_OR_OTHER,0,
2016 Detroit Race 2,https://ptscin.com/wp-content/uploads/2025/06/Detroit16Race2.png,ptscin.com,PAGE_OR_OTHER,0,
2016 Long Beach Qualifying,https://ptscin.com/wp-content/uploads/2025/06/TGPLB16-Qual-Chart.png,ptscin.com,PAGE_OR_OTHER,0,
2016 Long Beach Race,https://ptscin.com/wp-content/uploads/2025/06/TGPLB16-Tire-Chart.png,ptscin.com,PAGE_OR_OTHER,0,
2016 Mid-Ohio Qualifying,https://ptscin.com/wp-content/uploads/2025/06/MidOhioQual16.png,ptscin.com,PAGE_OR_OTHER,0,
2016 Mid-Ohio Race,https://ptscin.com/wp-content/uploads/2025/06/MidOhioRace16.png,ptscin.com,PAGE_OR_OTHER,0,
2016 Road America Qualifying,https://ptscin.com/wp-content/uploads/2025/06/RoadAmerica16Qual.png,ptscin.com,PAGE_OR_OTHER,0,
2016 Road America Race,https://ptscin.com/wp-content/uploads/2025/06/RoadAmericaRace.png,ptscin.com,PAGE_OR_OTHER,0,
2016 Sonoma Qualifying,https://ptscin.com/wp-content/uploads/2025/06/SonomaQual2016.png,ptscin.com,PAGE_OR_OTHER,0,
2016 Sonoma Race,https://ptscin.com/wp-content/uploads/2025/06/SonomaRace2016.png,ptscin.com,PAGE_OR_OTHER,0,
2016 St. Pete Race,https://ptscin.com/wp-content/uploads/2025/06/St.-Pete-Race-2016.png,ptscin.com,PAGE_OR_OTHER,0,
2016 Toronto Qualifying,https://ptscin.com/wp-content/uploads/2025/06/Toronto_Qualifying.png,ptscin.com,PAGE_OR_OTHER,0,
2016 Toronto Race,https://ptscin.com/wp-content/uploads/2025/06/Toronto16-Race.png,ptscin.com,PAGE_OR_OTHER,0,
2016 Watkins Glen Qualifying,https://ptscin.com/wp-content/uploads/2025/06/WatkinsGlenQual16.png,ptscin.com,PAGE_OR_OTHER,0,
2016 Watkins Glen Race,https://ptscin.com/wp-content/uploads/2025/06/WatkinsGlenRace16.png,ptscin.com,PAGE_OR_OTHER,0,
2017 Barber Qualifying,https://ptscin.com/wp-content/uploads/2025/06/BarberQual2017.png,ptscin.com,PAGE_OR_OTHER,0,
2017 Barber Race,https://ptscin.com/wp-content/uploads/2025/06/BarberRace2017.png,ptscin.com,PAGE_OR_OTHER,0,
2017 Detroit Qualifying 1,https://ptscin.com/wp-content/uploads/2025/06/Detroit17Race1Qual.png,ptscin.com,PAGE_OR_OTHER,0,
2017 Detroit Qualifying 2,https://ptscin.com/wp-content/uploads/2025/06/Detroit2017Qual2.png,ptscin.com,PAGE_OR_OTHER,0,
2017 Detroit Race 1,https://ptscin.com/wp-content/uploads/2025/06/Detroit17Race1.png,ptscin.com,PAGE_OR_OTHER,0,
2017 Detroit Race 2,https://ptscin.com/wp-content/uploads/2025/06/Detroit2017Race2.png,ptscin.com,PAGE_OR_OTHER,0,
2017 Long Beach Qualifying,https://ptscin.com/wp-content/uploads/2025/06/LongBeach2017Qual.png,ptscin.com,PAGE_OR_OTHER,0,
2017 Long Beach Race,https://ptscin.com/wp-content/uploads/2025/06/LongBeachRace2017.png,ptscin.com,PAGE_OR_OTHER,0,
2017 Mid-Ohio Qualifying,https://ptscin.com/wp-content/uploads/2025/06/MidOhioQual2017.png,ptscin.com,PAGE_OR_OTHER,0,
2017 Mid-Ohio Race,https://ptscin.com/wp-content/uploads/2025/06/MidOhioRace17.png,ptscin.com,PAGE_OR_OTHER,0,
2017 Road America Qualifying,https://ptscin.com/wp-content/uploads/2025/06/RoadAmericaQual2017.png,ptscin.com,PAGE_OR_OTHER,0,
2017 Road America Race,https://ptscin.com/wp-content/uploads/2025/06/RoadAmericaRace2017.png,ptscin.com,PAGE_OR_OTHER,0,
2017 Sonoma Qualifying,https://ptscin.com/wp-content/uploads/2025/06/SonomaQual2017.png,ptscin.com,PAGE_OR_OTHER,0,
2017 Sonoma Race,https://ptscin.com/wp-content/uploads/2025/06/SonomaRace2017.png,ptscin.com,PAGE_OR_OTHER,0,
2017 St. Pete Qualifying,https://ptscin.com/wp-content/uploads/2025/06/St.PeteQual2017.png,ptscin.com,PAGE_OR_OTHER,0,
2017 St. Pete Race,https://ptscin.com/wp-content/uploads/2025/06/St.PeteRace2017.png,ptscin.com,PAGE_OR_OTHER,0,
2017 Toronto Qualifying,https://ptscin.com/wp-content/uploads/2025/06/TorontoQual17.png,ptscin.com,PAGE_OR_OTHER,0,
2017 Toronto Race,https://ptscin.com/wp-content/uploads/2025/06/TorontoRace2017.png,ptscin.com,PAGE_OR_OTHER,0,
2017 Watkins Glen Qualifying,https://ptscin.com/wp-content/uploads/2025/06/WatkinsGlenQual17.png,ptscin.com,PAGE_OR_OTHER,0,
2017 Watkins Glen Race,https://ptscin.com/wp-content/uploads/2025/06/WatkinsGlenRace17.png,ptscin.com,PAGE_OR_OTHER,0,
2018 Barber Qualifying,https://ptscin.com/wp-content/uploads/2025/06/BarberQual18.png,ptscin.com,PAGE_OR_OTHER,0,
2018 Barber Race pt1,https://ptscin.com/wp-content/uploads/2025/06/BarberRace18_4_22.png,ptscin.com,PAGE_OR_OTHER,0,
2018 Barber Race pt2,https://ptscin.com/wp-content/uploads/2025/06/BarberRace2018_4_23.png,ptscin.com,PAGE_OR_OTHER,0,
2018 Detroit Qualifying 1,https://ptscin.com/wp-content/uploads/2025/06/DetroitRace1Qual2018.png,ptscin.com,PAGE_OR_OTHER,0,
2018 Detroit Race 1,https://ptscin.com/wp-content/uploads/2025/06/DetroitRace12018.png,ptscin.com,PAGE_OR_OTHER,0,
2018 Detroit Race 2,https://ptscin.com/wp-content/uploads/2025/06/DetroitRace22018.png,ptscin.com,PAGE_OR_OTHER,0,
2018 Long Beach Qualifying,https://ptscin.com/wp-content/uploads/2025/06/LongBeachQual18.png,ptscin.com,PAGE_OR_OTHER,0,
2018 Long Beach Race,https://ptscin.com/wp-content/uploads/2025/06/LongBeachRace2018.png,ptscin.com,PAGE_OR_OTHER,0,
2018 Mid-Ohio Qualifying,https://ptscin.com/wp-content/uploads/2025/06/MidOhioQual2018.png,ptscin.com,PAGE_OR_OTHER,0,
2018 Mid-Ohio Race,https://ptscin.com/wp-content/uploads/2025/06/MidOhioRace2018.png,ptscin.com,PAGE_OR_OTHER,0,
2018 Portland Qualifying,https://ptscin.com/wp-content/uploads/2025/06/PortlandQual2018.png,ptscin.com,PAGE_OR_OTHER,0,
2018 Portland Race,https://ptscin.com/wp-content/uploads/2025/06/PortlandRace2018.png,ptscin.com,PAGE_OR_OTHER,0,
2018 Road America Qualifying,https://ptscin.com/wp-content/uploads/2025/06/RoadAmericaQual2018.png,ptscin.com,PAGE_OR_OTHER,0,
2018 Road America Race,https://ptscin.com/wp-content/uploads/2025/06/RoadAmericaRace2018.png,ptscin.com,PAGE_OR_OTHER,0,
2018 Sonoma Qualifying,https://ptscin.com/wp-content/uploads/2025/06/SonomaQual2018.png,ptscin.com,PAGE_OR_OTHER,0,
2018 Sonoma Race,https://ptscin.com/wp-content/uploads/2025/06/SonomaRace2018.png,ptscin.com,PAGE_OR_OTHER,0,
2018 St. Pete Qualifying,https://ptscin.com/wp-content/uploads/2025/06/St.PeteQual2018.png,ptscin.com,PAGE_OR_OTHER,0,
2018 St. Pete Race,https://ptscin.com/wp-content/uploads/2025/06/St.PeteRace2018.png,ptscin.com,PAGE_OR_OTHER,0,
