year,source_line_no,source_rank,car_number,driver_name,cet,lap1_s,lap2_s,lap3_s,lap4_s,total_time,average_speed_mph,status,tail_raw,raw_line,timed_lap_count,complete_four_lap,zero_lap,partial_attempt,car_key,driver_key,entrant_key,record_index_for_entrant,records_for_entrant,complete_attempts_for_entrant,has_repeat_complete_attempt,chronology_verified,source_order_semantics
2019,44,39,15,"Rahal, Graham",D/H/F,39.3793,39.6078,39.5751,39.753,02:38.3152,227.394,Withdrawn,Day 1 Withdrawn,"39 15 Rahal, Graham D/H/F 39.3793 39.6078 39.5751 39.7530 02:38.3152 227.394 Day 1 Withdrawn",4,True,False,False,15,rahalgraham,rahalgraham__15,2,3,3,True,False,RESULT_REPORT_ORDER_NOT_VERIFIED_CHRONOLOGY
2019,50,45,15,"Rahal, Graham",D/H/F,39.6161,39.6358,39.6115,39.6605,02:38.5239,227.095,Retired,Day 1 Retired,"45 15 Rahal, Graham D/H/F 39.6161 39.6358 39.6115 39.6605 02:38.5239 227.095 Day 1 Retired",4,True,False,False,15,rahalgraham,rahalgraham__15,3,3,3,True,False,RESULT_REPORT_ORDER_NOT_VERIFIED_CHRONOLOGY
2019,34,29,10,"Rosenqvist, Felix",D/H/F,39.5183,39.5561,39.615,39.694,02:38.3834,227.297,VALID_OR_UNLABELED,Day 1,"29 10 Rosenqvist, Felix D/H/F 39.5183 39.5561 39.6150 39.6940 02:38.3834 227.297 Day 1",4,True,False,False,10,rosenqvistfelix,rosenqvistfelix__10,1,3,3,True,False,RESULT_REPORT_ORDER_NOT_VERIFIED_CHRONOLOGY
2019,47,42,10,"Rosenqvist, Felix",D/H/F,39.4707,39.6126,39.6845,39.6841,02:38.4519,227.198,Withdrawn,Day 1 Withdrawn,"42 10 Rosenqvist, Felix D/H/F 39.4707 39.6126 39.6845 39.6841 02:38.4519 227.198 Day 1 Withdrawn",4,True,False,False,10,rosenqvistfelix,rosenqvistfelix__10,2,3,3,True,False,RESULT_REPORT_ORDER_NOT_VERIFIED_CHRONOLOGY
2019,59,54,10,"Rosenqvist, Felix",D/H/F,39.5616,39.7418,39.7241,39.7456,02:38.7731,226.739,Withdrawn,Day 1 Withdrawn,"54 10 Rosenqvist, Felix D/H/F 39.5616 39.7418 39.7241 39.7456 02:38.7731 226.739 Day 1 Withdrawn",4,True,False,False,10,rosenqvistfelix,rosenqvistfelix__10,3,3,3,True,False,RESULT_REPORT_ORDER_NOT_VERIFIED_CHRONOLOGY
2019,13,8,27,"Rossi, Alexander",D/H/F,39.1713,39.2488,39.2778,39.3238,02:37.0217,229.268,VALID_OR_UNLABELED,Day 1,"8 27 Rossi, Alexander D/H/F 39.1713 39.2488 39.2778 39.3238 02:37.0217 229.268 Day 1",4,True,False,False,27,rossialexander,rossialexander__27,1,2,2,True,False,RESULT_REPORT_ORDER_NOT_VERIFIED_CHRONOLOGY
2019,37,32,27,"Rossi, Alexander",D/H/F,39.2116,39.2801,39.3881,39.4518,02:37.3316,228.816,Retired,Day 1 Retired,"32 27 Rossi, Alexander D/H/F 39.2116 39.2801 39.3881 39.4518 02:37.3316 228.816 Day 1 Retired",4,True,False,False,27,rossialexander,rossialexander__27,2,2,2,True,False,RESULT_REPORT_ORDER_NOT_VERIFIED_CHRONOLOGY
2019,33,28,26,"Veach, Zach",D/H/F,39.4136,39.577,39.6792,39.6825,02:38.3523,227.341,VALID_OR_UNLABELED,Day 1,"28 26 Veach, Zach D/H/F 39.4136 39.5770 39.6792 39.6825 02:38.3523 227.341 Day 1",4,True,False,False,26,veachzach,veachzach__26,1,2,2,True,False,RESULT_REPORT_ORDER_NOT_VERIFIED_CHRONOLOGY
2019,46,41,26,"Veach, Zach",D/H/F,39.4838,39.649,39.646,39.6705,02:38.4493,227.202,Failed Attempt,Day 1 Failed Attempt,"41 26 Veach, Zach D/H/F 39.4838 39.6490 39.6460 39.6705 02:38.4493 227.202 Day 1 Failed Attempt",4,True,False,False,26,veachzach,veachzach__26,2,2,2,True,False,RESULT_REPORT_ORDER_NOT_VERIFIED_CHRONOLOGY
2025,66,61,98,"Andretti, Marco",D/H/F,39.048,39.1769,39.0925,39.3006,02:36.6180,229.859,Failed Attempt,Day 1 Failed Attempt,"61 98 Andretti, Marco D/H/F 39.0480 39.1769 39.0925 39.3006 02:36.6180 229.859 Day 1 Failed Attempt",4,True,False,False,98,andrettimarco,andrettimarco__98,1,4,4,True,False,RESULT_REPORT_ORDER_NOT_VERIFIED_CHRONOLOGY
2025,67,62,98,"Andretti, Marco",D/H/F,39.1876,39.158,39.1674,39.1061,02:36.6191,229.857,Bumped,Day 1 Bumped,"62 98 Andretti, Marco D/H/F 39.1876 39.1580 39.1674 39.1061 02:36.6191 229.857 Day 1 Bumped",4,True,False,False,98,andrettimarco,andrettimarco__98,2,4,4,True,False,RESULT_REPORT_ORDER_NOT_VERIFIED_CHRONOLOGY
