year,file,page,line_no,keyword_hits,raw_line
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,19,30,car | section,2.9275 230.106 2.9240 230.382 2.9287 230.012 2.9290 229.989 3.0102 223.785 Car T1to102nd Indianapolis Section Qualifications for
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,19,33,lap,Lap 1 2 3 4 5
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,19,34,session | section,Event: Track: Report: Session: Section
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,20,7,car,May PI IndyCar 57.4664 144.090
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,20,11,car,39.3460 228.740 39.2828 229.108 39.2875 229.080 39.3444 228.749 INDYCAR
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,20,12,lap,Lap
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,20,28,speed,Helio T2T2500 Speedway 4.9957 4.9955 4.9996 5.0038 6.4059 to 225.194 225.203 225.018 224.829 175.619
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,20,32,car | section,2.9190 230.776 2.9161 231.006 2.9085 231.610 2.9050 231.889 2.9627 227.372 Car T1to102nd Indianapolis Section Qualifications for
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,20,35,lap,Lap 1 2 3 4 5
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,20,36,session | section,Event: Track: Report: Session: Section
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,21,7,car,May PI IndyCar 57.5560 143.866
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,21,11,car,39.7577 226.371 39.8607 225.786 40.1544 224.135 39.8634 225.771 INDYCAR
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,21,12,lap,Lap
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,21,28,speed,T2500 Speedway T2 5.0022 5.0247 5.0841 5.0337 6.6963 to 224.901 223.894 221.278 223.494 168.003
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,21,31,car | section,2.9372 229.346 2.9348 229.534 2.9369 229.370 2.9401 229.120 3.1419 214.404 Car T1to102nd Indianapolis Section Qualifications for
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,21,34,lap,Lap 1 2 3 4 5
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,21,35,session | section,Event: Track: Report: Session: Section
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,22,7,car,May PI IndyCar 50.4150 164.244
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,22,11,car,39.7450 226.444 39.8074 226.089 39.8642 225.766 39.9222 225.438 INDYCAR
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,22,12,lap,Lap
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,22,28,speed,T2500 Speedway (R) T2 5.0110 5.0290 5.0393 5.0319 5.4023 to 224.506 223.703 223.245 223.574 208.245
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,22,32,car | section,2.9160 231.014 2.9279 230.075 2.9290 229.989 2.9316 229.785 2.9303 229.886 Car T1to102nd Indianapolis Section Qualifications for
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,22,35,lap,Lap 1 2 3 4 5
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,22,36,session | section,Event: Track: Report: Session: Section
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,23,7,car,May PI IndyCar 54.1432 152.934
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,23,11,car,39.9033 225.545 39.9934 225.037 40.0588 224.670 40.1884 223.945 INDYCAR
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,23,12,lap,Lap
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,23,28,speed,T2500 Speedway T2 5.0260 5.0610 5.0643 5.0973 6.3347 to 223.836 222.288 222.143 220.705 177.593 James
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,23,31,car | section,2.9207 230.642 2.9303 229.886 2.9294 229.957 2.9379 229.292 3.0248 222.704 Car T1to102nd Indianapolis Section Qualifications for
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,23,34,lap,Lap 1 2 3 4 5
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,23,35,session | section,Event: Track: Report: Session: Section
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,24,7,car,May PI IndyCar 54.8162 151.056
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,24,11,car,39.5120 227.779 39.6111 227.209 39.5717 227.435 39.5878 227.343 INDYCAR
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,24,12,lap,Lap
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,24,28,speed,(R) T2500 Speedway T2 4.9766 4.9935 4.9926 4.9994 6.2572 to 226.058 225.293 225.333 225.027 179.793
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,24,32,car | section,2.9046 231.921 2.9124 231.299 2.9081 231.641 2.9055 231.849 3.0687 219.518 Car T1to102nd Indianapolis Section Qualifications for
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,24,35,lap,Lap 1 2 3 4 5
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,24,36,session | section,Event: Track: Report: Session: Section
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,25,8,car,May SF IndyCar to 45.4236 183.305 46.0272 180.901
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,25,11,lap | car,39.9378 225.350 40.0206 224.884 40.1031 224.422 40.0926 224.480 0.745 INDYCAR Lap 12078.4157
