core_row,year,car_number,driver_name,delta_speed_final_core_mph,residual_loyo_centered,linkage_status,before_attempt_id,after_attempt_id,anchor_delta_difference_mph,before_section_rows,before_valid_section_speed_rows,before_valid_section_time_rows,before_unique_section_names,before_section_names,before_covered_laps,before_n_covered_laps,before_full_lap_coverage_rows,after_section_rows,after_valid_section_speed_rows,after_valid_section_time_rows,after_unique_section_names,after_section_names,after_covered_laps,after_n_covered_laps,after_full_lap_coverage_rows,both_attempts_in_section_table,both_have_section_speed,both_cover_four_laps
30,2023,33,Ed Carpenter,-0.109,-0.3480270384777923,no_explicit_anchor,,,,,,,,,,,,,,,,,,,,False,False,False
31,2023,33,Ed Carpenter,0.178,0.1794368438561285,no_explicit_anchor,,,,,,,,,,,,,,,,,,,,False,False,False
32,2023,66,Tony Kanaan,0.174,-0.0724368229288688,no_explicit_anchor,,,,,,,,,,,,,,,,,,,,False,False,False
33,2023,66,Tony Kanaan,0.727,0.7687547502819057,no_explicit_anchor,,,,,,,,,,,,,,,,,,,,False,False,False
34,2023,77,Callum Ilott,3.462,3.3922253564403406,matched_explicit_anchor,f7e8b948-2fd0-5183-971b-aaea5c66c226,333cf68d-54d9-5559-ac70-c73c27086892,1.1102230246251565e-14,36.0,36.0,36.0,9.0,BS to T3|FS to SF|SS1 to T2|SS2 to T4|T/SSF to T1|T1 to SS1|T2 to BS|T3 to SS2|T4 to FS,1|2|3|4,4.0,36.0,36.0,36.0,36.0,9.0,BS to T3|FS to SF|SS1 to T2|SS2 to T4|T/SSF to T1|T1 to SS1|T2 to BS|T3 to SS2|T4 to FS,1|2|3|4,4.0,36.0,True,True,True
35,2023,8,Marcus Ericsson,-0.314,-0.4834618477384036,no_explicit_anchor,,,,,,,,,,,,,,,,,,,,False,False,False
36,2023,8,Marcus Ericsson,0.609,0.4766324246372392,no_explicit_anchor,,,,,,,,,,,,,,,,,,,,False,False,False
37,2023,9,Scott Dixon,0.461,0.2279166593812244,no_explicit_anchor,,,,,,,,,,,,,,,,,,,,False,False,False
38,2023,6,Felix Rosenqvist,0.848,0.7199597912553156,no_explicit_anchor,,,,,,,,,,,,,,,,,,,,False,False,False
39,2024,21,Rinus VeeKay,1.253,1.073327813860216,no_explicit_anchor,,,,,,,,,,,,,,,,,,,,False,False,False
40,2024,5,Pato O'Ward,0.601,0.4711696325392509,no_explicit_anchor,,,,,,,,,,,,,,,,,,,,False,False,False
