catalogue_index,id,series,description,startTime,start_utc,start_indianapolis,filename,analysisFilename,indy_keyword,qual_keyword,500_keyword,inferred_year
8009,8761dfcf-bba2-4b30-bd88-c8931620cb94,IndyCar,108th Running of the Indianapolis 500 - Practice 3,1715781470,2024-05-15T13:57:50+00:00,2024-05-15T09:57:50-04:00,https://s3.us-east-005.backblazeb2.com/t71-archive/2024-05-15 13-57 IndyCar - 108th Running of the Indianapolis 500 - Practice 3.zip,https://s3.us-east-005.backblazeb2.com/t71-archive/2024-05-15 13-57 IndyCar - 108th Running of the Indianapolis 500 - Practice 3.json,True,False,True,2024
8025,878aa99b-275a-4de8-a3e2-d607ccd6c489,IndyCar,Indianapolis 500 OPEN TEST - Test Session 2,1777391824,2026-04-28T15:57:04+00:00,2026-04-28T11:57:04-04:00,https://s3.us-east-005.backblazeb2.com/t71-archive/2026-04-28 15-57 IndyCar - Indianapolis 500 OPEN TEST - Test Session 2.zip,https://s3.us-east-005.backblazeb2.com/t71-archive/2026-04-28 15-57 IndyCar - Indianapolis 500 OPEN TEST - Test Session 2.json,True,False,True,2026
8087,8866c7494bb7488d8e714babd05952e2,IndyCar,105th Running of the Indianapolis 500 - Practice 1,1621346116,2021-05-18T13:55:16+00:00,2021-05-18T09:55:16-04:00,https://s3.us-east-005.backblazeb2.com/t71-archive/8866c7494bb7488d8e714babd05952e2.zip,https://s3.us-east-005.backblazeb2.com/t71-archive/8866c7494bb7488d8e714babd05952e2.json,True,False,True,2021
8380,8d618fe6-c038-4070-84e8-1be8d2a770d5,IndyCar,108th Running of the Indianapolis 500 - Race,1716756065,2024-05-26T20:41:05+00:00,2024-05-26T16:41:05-04:00,https://s3.us-east-005.backblazeb2.com/t71-archive/2024-05-26 20-41 IndyCar - 108th Running of the Indianapolis 500 - Race.zip,https://s3.us-east-005.backblazeb2.com/t71-archive/2024-05-26 20-41 IndyCar - 108th Running of the Indianapolis 500 - Race.json,True,False,True,2024
8580,90cddd1b-24bc-4d0a-b2b1-dfd5048eb89d,IndyCar,Indianapolis 500 - Qualifying,1684699035,2023-05-21T19:57:15+00:00,2023-05-21T15:57:15-04:00,https://s3.us-east-005.backblazeb2.com/t71-archive/2023-05-21 19-57 IndyCar - Indianapolis 500 - Qualifying.zip,https://s3.us-east-005.backblazeb2.com/t71-archive/2023-05-21 19-57 IndyCar - Indianapolis 500 - Qualifying.json,True,True,True,2023
9193,99885030-ae56-49ef-8933-4db68649b9fa,IndyCar,109th Running of the Indianapolis 500 - Practice Final,1748022145,2025-05-23T17:42:25+00:00,2025-05-23T13:42:25-04:00,https://s3.us-east-005.backblazeb2.com/t71-archive/2025-05-23 17-42 IndyCar - 109th Running of the Indianapolis 500 - Practice Final.zip,https://s3.us-east-005.backblazeb2.com/t71-archive/2025-05-23 17-42 IndyCar - 109th Running of the Indianapolis 500 - Practice Final.json,True,False,True,2025
9231,9a02a6d2-94c5-4a08-9340-db820058da54,IndyCar,Indianapolis 500 OPEN TEST - Practice 2 ROP and Refreshers,1777471023,2026-04-29T13:57:03+00:00,2026-04-29T09:57:03-04:00,https://s3.us-east-005.backblazeb2.com/t71-archive/2026-04-29 13-57 IndyCar - Indianapolis 500 OPEN TEST - Practice 2 ROP and Refreshers.zip,https://s3.us-east-005.backblazeb2.com/t71-archive/2026-04-29 13-57 IndyCar - Indianapolis 500 OPEN TEST - Practice 2 ROP and Refreshers.json,True,False,True,2026
9262,9a68bf34-286b-482e-8a0b-579ecff97a94,IndyCar,109th Running of the Indianapolis 500 - Practice 7,1747587478,2025-05-18T16:57:58+00:00,2025-05-18T12:57:58-04:00,https://s3.us-east-005.backblazeb2.com/t71-archive/2025-05-18 16-57 IndyCar - 109th Running of the Indianapolis 500 - Practice 7.zip,https://s3.us-east-005.backblazeb2.com/t71-archive/2025-05-18 16-57 IndyCar - 109th Running of the Indianapolis 500 - Practice 7.json,True,False,True,2025
9462,9daa4599-35b8-4106-8ac7-4cd95a4d13b7,IndyCar,Indianapolis 500 - Race,1685292125,2023-05-28T16:42:05+00:00,2023-05-28T12:42:05-04:00,https://s3.us-east-005.backblazeb2.com/t71-archive/2023-05-28 16-42 IndyCar - Indianapolis 500 - Race.zip,https://s3.us-east-005.backblazeb2.com/t71-archive/2023-05-28 16-42 IndyCar - Indianapolis 500 - Race.json,True,False,True,2023
9554,9f3dba2ffec941aa8aa5b4ed0880161f,IndyCar,103rd Indianapolis 500 - Practice 3,1558018505,2019-05-16T14:55:05+00:00,2019-05-16T10:55:05-04:00,https://s3.us-east-005.backblazeb2.com/t71-archive/indy500-2019-practice-3.zip,https://s3.us-east-005.backblazeb2.com/t71-archive/indy500-2019-practice-3.json,True,False,True,2019
9670,a1982d2c-0412-473f-8db8-413bffb57bee,IndyCar,109th Running of the Indianapolis 500 - Race,1748191332,2025-05-25T16:42:12+00:00,2025-05-25T12:42:12-04:00,https://s3.us-east-005.backblazeb2.com/t71-archive/2025-05-25 16-42 IndyCar - 109th Running of the Indianapolis 500 - Race.zip,https://s3.us-east-005.backblazeb2.com/t71-archive/2025-05-25 16-42 IndyCar - 109th Running of the Indianapolis 500 - Race.json,True,False,True,2025
