year,analysis_file,car_number,stint_index,lap_index,lap_number,laptime_s,timestamp_ms,timestamp_utc,timestamp_indianapolis,flag
2025,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json,4,0,2,3,38.813,1747499190676,2025-05-17T16:26:30.676000+00:00,2025-05-17T12:26:30.676000-04:00,green
2025,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json,4,0,3,4,38.7028,1747499228963,2025-05-17T16:27:08.963000+00:00,2025-05-17T12:27:08.963000-04:00,green
2025,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json,4,0,4,5,38.7144,1747499268945,2025-05-17T16:27:48.945000+00:00,2025-05-17T12:27:48.945000-04:00,green
2025,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json,14,0,0,1,41.5096,1747499380558,2025-05-17T16:29:40.558000+00:00,2025-05-17T12:29:40.558000-04:00,yellow
2025,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json,14,0,1,2,38.8551,1747499420544,2025-05-17T16:30:20.544000+00:00,2025-05-17T12:30:20.544000-04:00,green
2025,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json,14,0,2,3,39.1399,1747499458868,2025-05-17T16:30:58.868000+00:00,2025-05-17T12:30:58.868000-04:00,green
2025,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json,14,0,3,4,38.9947,1747499497188,2025-05-17T16:31:37.188000+00:00,2025-05-17T12:31:37.188000-04:00,green
2025,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json,14,0,4,5,38.9647,1747499535536,2025-05-17T16:32:15.536000+00:00,2025-05-17T12:32:15.536000-04:00,green
2025,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json,12,0,0,1,41.1875,1747499645512,2025-05-17T16:34:05.512000+00:00,2025-05-17T12:34:05.512000-04:00,yellow
2025,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json,12,0,1,2,38.6933,1747499723825,2025-05-17T16:35:23.825000+00:00,2025-05-17T12:35:23.825000-04:00,green
2025,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json,12,0,2,3,38.7225,1747499762138,2025-05-17T16:36:02.138000+00:00,2025-05-17T12:36:02.138000-04:00,green
2025,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json,12,0,3,4,39.1554,1747499800464,2025-05-17T16:36:40.464000+00:00,2025-05-17T12:36:40.464000-04:00,green
2025,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json,17,0,0,1,41.9277,1747499927108,2025-05-17T16:38:47.108000+00:00,2025-05-17T12:38:47.108000-04:00,yellow
2025,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json,17,0,1,2,39.0386,1747499967091,2025-05-17T16:39:27.091000+00:00,2025-05-17T12:39:27.091000-04:00,green
2025,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json,17,0,2,3,39.0349,1747500005429,2025-05-17T16:40:05.429000+00:00,2025-05-17T12:40:05.429000-04:00,green
2025,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json,17,0,3,4,39.1709,1747500045409,2025-05-17T16:40:45.409000+00:00,2025-05-17T12:40:45.409000-04:00,green
2025,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json,17,0,4,5,39.2411,1747500083746,2025-05-17T16:41:23.746000+00:00,2025-05-17T12:41:23.746000-04:00,green
2025,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json,75,0,0,1,40.9491,1747500200382,2025-05-17T16:43:20.382000+00:00,2025-05-17T12:43:20.382000-04:00,yellow
2025,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json,75,0,1,2,38.7201,1747500238703,2025-05-17T16:43:58.703000+00:00,2025-05-17T12:43:58.703000-04:00,green
2025,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json,75,0,2,3,38.7659,1747500277043,2025-05-17T16:44:37.043000+00:00,2025-05-17T12:44:37.043000-04:00,green
2025,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json,75,0,3,4,38.7847,1747500317038,2025-05-17T16:45:17.038000+00:00,2025-05-17T12:45:17.038000-04:00,green
2025,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json,75,0,4,5,38.7889,1747500355354,2025-05-17T16:45:55.354000+00:00,2025-05-17T12:45:55.354000-04:00,green
2025,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json,33,0,0,1,41.4463,1747500478658,2025-05-17T16:47:58.658000+00:00,2025-05-17T12:47:58.658000-04:00,yellow
