year,analysis_file,root,car_number,record_index,parent_start_ts,parent_end_ts,parent_start_utc,parent_end_utc,history_count,record_repr
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,lap,30,0,1558196288.847643,1558196503.865886,2019-05-18T16:18:08.847643+00:00,2019-05-18T16:21:43.865886+00:00,5,"[1, 1558196288.847643, 5.0, 1558196503.865886, True, 0, 39.3392, 0, 39.42184999999999, [[41.7447, 1], [39.3392, 1], [39.4293, 1], [39.4969, 1], [39.422, 1]]]"
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,lap,42,0,1558206313.9546,1558206568.962846,2019-05-18T19:05:13.954600+00:00,2019-05-18T19:09:28.962846+00:00,5,"[1, 1558206313.9546, 0.0, 1558206568.962846, True, 0, 39.604, 3, 39.66475, [[39.8856, 9], [39.685, 9], [39.604, 9], [39.672, 1], [39.698, 1]]]"
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,lap,5T,0,1558212573.956534,1558212573.956534,2019-05-18T20:49:33.956534+00:00,2019-05-18T20:49:33.956534+00:00,1,"[4.0, 1558212573.956534, 0.0, 1558212573.956534, True, 0, 39.7585, 1, None, [[39.7585, 9]]]"
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,lap,33,0,1558195748.848867,1558195958.845046,2019-05-18T16:09:08.848867+00:00,2019-05-18T16:12:38.845046+00:00,5,"[1, 1558195748.848867, 5.0, 1558195958.845046, True, 0, 39.259, 0, 39.426425, [[42.6162, 0], [39.259, 1], [39.4561, 1], [39.4936, 1], [39.497, 1]]]"
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,lap,2,0,1558199213.849905,1558199423.853516,2019-05-18T17:06:53.849905+00:00,2019-05-18T17:10:23.853516+00:00,5,"[1, 1558199213.849905, 5.0, 1558199423.853516, True, 0, 39.1083, 0, 39.173100000000005, [[40.5748, 1], [39.1083, 1], [39.1758, 1], [39.1681, 1], [39.2402, 1]]]"
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,lap,5,0,1558200078.872667,1558200173.845899,2019-05-18T17:21:18.872667+00:00,2019-05-18T17:22:53.845899+00:00,2,"[1, 1558200078.872667, 2.0, 1558200173.845899, True, 0, 39.4461, 0, 39.4461, [[40.4506, 1], [39.4461, 1]]]"
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,lap,4,0,1558207133.743392,1558207348.963186,2019-05-18T19:18:53.743392+00:00,2019-05-18T19:22:28.963186+00:00,6,"[1, 1558207133.743392, 0.0, 1558207348.963186, True, 0, 39.4579, 1, 39.634800000000006, [[40.0829, 0], [40.0829, 9], [39.4579, 1], [39.5109, 1], [39.5662, 1], [39.5561, 1]]]"
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,lap,7,0,1558195473.843673,1558195688.846524,2019-05-18T16:04:33.843673+00:00,2019-05-18T16:08:08.846524+00:00,5,"[1, 1558195473.843673, 5.0, 1558195688.846524, True, 0, 39.2987, 0, 39.385374999999996, [[40.7725, 1], [39.2987, 1], [39.4361, 1], [39.3971, 1], [39.4096, 1]]]"
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,lap,48,0,1558204688.969725,1558204933.953739,2019-05-18T18:38:08.969725+00:00,2019-05-18T18:42:13.953739+00:00,8,"[6.0, 1558204688.969725, 0.0, 1558204933.953739, True, 0, 39.3756, 3, 39.72682857142858, [[2247.1585, 9], [40.1247, 9], [40.1247, 9], [39.3756, 1], [39.3756, 1], [39.4908, 1], [39.8213, 1], [39.7751, 1]]]"
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,lap,12,0,1558194008.734003,1558194218.739481,2019-05-18T15:40:08.734003+00:00,2019-05-18T15:43:38.739481+00:00,6,"[1, 1558194008.734003, 5.0, 1558194218.739481, True, 0, 39.0569, 1, 39.46052, [[39.5611, 0], [40.836, 9], [39.0569, 1], [39.0969, 1], [39.1544, 1], [39.1584, 1]]]"
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,stint,10,0,1558208258.954807,1558212573.956534,2019-05-18T19:37:38.954807+00:00,2019-05-18T20:49:33.956534+00:00,7,"[1, 1558208258.954807, 0.0, 1558212573.956534, False, 0, 39.4707, 3, 39.6518, [[5062.1552, 9], [39.7456, 9], [39.7456, 9], [39.4707, 1], [39.6126, 1], [39.6845, 1], [39.6841, 1]]]"
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,stint,26,0,1558210008.96037,1558212573.956534,2019-05-18T20:06:48.960370+00:00,2019-05-18T20:49:33.956534+00:00,88,"[1, 1558210008.96037, 11.0, 1558212573.956534, False, 0, 39.4838, 40, 39.67393372093022, [[6273.6338, 9], [39.6825, 9], [39.6825, 9], [39.6825, 1], [39.4838, 1], [39.649, 1], [39.646, 1], [39.6825, 1], [39.6825, 1], [39.6705, 9], [39.6825, 9], [39.6705, 1], [39.6825, 1], [39.6705, 1], [39.6825, 9], [39.6705, 9], [39.6825, 9], [39.6705, 9], [39.6825, 9], [39.6705, 1], [39.6825, 1], [39.6705, 1], [39.6825, 1], [39.6705, 1], [39.6825, 1], [39.6705, 1], [39.6825, 1], [39.6705, 1], [39.6825, 9], [39.6705, 9], [39.6825, 9], [39.6705, 9], [39.6825, 9], [39.6705, 1], [39.6825, 1], [39.6705, 1], [39.6825, 1], [39.6705, 1], [39.6825, 1], [39.6705, 1], [39.6825, 9], [39.6705, 9], [39.6825, 9], [39.6705, 9], [39.6825, 9], [39.6705, 1], [39.6825, 1], [39.6705, 1], [39.6825, 1], [39.6705, 1], [39.6825, 1], [39.6705, 1], [39.6825, 9], [39.6705, 9], [39.6825, 9], [39.6705, 9], [39.6825, 9], [39.6705, 1], [39.6825, 1], [39.6705, 1], [39.6825, 9], [39.6705, 9], [39.6825, 9], [39.6705, 9], [39.6825, 9], [39.6705, 9], [39.6825, 9], [39.6705, 9], [39.6825, 1], [39.6705, 1], [39.6825, 1], [39.6705, 1], [39.6825, 1], [39.6705, 1], [39.6825, 1], [39.6705, 1], [39.6825, 9], [39.6705, 9], [39.6825, 9], [39.6705, 1], [39.6825, 1], [39.6705, 1], [39.6825, 1], [39.6705, 1], [39.6825, 9], [39.6705, 9], [39.6825, 9], [39.6705, 9]]]"
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,stint,15,0,1558209443.960129,1558212573.956534,2019-05-18T19:57:23.960129+00:00,2019-05-18T20:49:33.956534+00:00,8,"[1, 1558209443.960129, 0.0, 1558212573.956534, False, 0, 39.3793, 2, 39.86826666666666, [[39.6605, 9], [41.6076, 9], [39.6605, 1], [39.3793, 1], [39.3793, 1], [39.6078, 1], [39.5751, 1], [39.753, 1]]]"
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,stint,98,0,1558211543.954513,1558212573.956534,2019-05-18T20:32:23.954513+00:00,2019-05-18T20:49:33.956534+00:00,22,"[1, 1558211543.954513, 14.0, 1558212573.956534, False, 0, 39.4134, 10, 39.561899999999994, [[39.4134, 1], [39.4642, 1], [39.6596, 9], [39.4642, 9], [39.6596, 9], [39.4642, 1], [39.6596, 1], [39.4642, 1], [39.6596, 1], [39.4642, 1], [39.6596, 9], [39.4642, 9], [39.6596, 9], [39.4642, 9], [39.6596, 1], [39.4642, 1], [39.6596, 1], [39.4642, 1], [39.6596, 1], [39.4642, 9], [39.6596, 9], [39.4642, 9]]]"
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,stint,88,0,1558212283.950806,1558212573.956534,2019-05-18T20:44:43.950806+00:00,2019-05-18T20:49:33.956534+00:00,1,"[1, 1558212283.950806, 6.0, 1558212573.956534, False, 0, 39.4036, 1, None, [[39.4036, 9]]]"
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,stint,66,0,1558208853.948603,1558209093.961421,2019-05-18T19:47:33.948603+00:00,2019-05-18T19:51:33.961421+00:00,49,"[1, 1558208853.948603, 10.0, 1558209093.961421, False, 0, 39.3935, 24, 40.22203404255321, [[39.716, 9], [41.9747, 9], [39.3935, 1], [39.3935, 1], [39.7859, 1], [40.249, 1], [40.21, 9], [40.249, 9], [40.21, 9], [40.249, 9], [40.21, 9], [40.249, 9], [40.21, 1], [40.249, 1], [40.21, 1], [40.249, 1], [40.21, 1], [40.249, 9], [40.21, 9], [40.249, 9], [40.21, 9], [40.249, 1], [40.21, 1], [40.249, 9], [40.21, 1], [40.249, 1], [40.21, 1], [40.249, 1], [40.21, 1], [40.249, 1], [40.21, 9], [40.249, 9], [40.21, 9], [40.249, 9], [40.21, 1], [40.249, 1], [40.21, 1], [40.249, 1], [40.21, 1], [40.249, 9], [40.21, 9], [40.249, 9], [40.21, 9], [40.249, 1], [40.21, 1], [40.249, 1], [40.21, 9], [40.249, 9], [40.21, 9]]]"
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,stint,66,1,1558210538.949451,1558210568.962134,2019-05-18T20:15:38.949451+00:00,2019-05-18T20:16:08.962134+00:00,1,"[11.0, 1558210538.949451, 0.0, 1558210568.962134, False, 0, 39.716, 1, None, [[39.716, 9]]]"
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,stint,66,2,1558210598.961412,1558210813.978923,2019-05-18T20:16:38.961412+00:00,2019-05-18T20:20:13.978923+00:00,12,"[1, 1558210598.961412, 0.0, 1558210813.978923, False, 0, 39.51, 3, 39.84507999999999, [[42.2195, 9], [39.51, 1], [40.21, 1], [39.5596, 1], [39.7772, 1], [39.7435, 1], [39.7435, 9], [40.21, 1], [39.7435, 1], [40.21, 9], [39.7435, 1], [39.7435, 1]]]"
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,stint,66,3,1558211973.97174,1558212573.956534,2019-05-18T20:39:33.971740+00:00,2019-05-18T20:49:33.956534+00:00,9,"[1, 1558211973.97174, 0.0, 1558212573.956534, False, 0, 39.6191, 4, 39.99292857142857, [[40.21, 9], [39.7435, 9], [39.7585, 9], [41.6688, 9], [39.6191, 1], [39.6813, 1], [39.7435, 1], [39.7358, 1], [41.3816, 1]]]"
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,stint,32,0,1558210278.961226,1558210308.955146,2019-05-18T20:11:18.961226+00:00,2019-05-18T20:11:48.955146+00:00,2,"[1, 1558210278.961226, 6.0, 1558210308.955146, False, 0, 39.716, 2, None, [[39.716, 9], [40.1565, 9]]]"
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,stint,32,1,1558210333.960168,1558212573.956534,2019-05-18T20:12:13.960168+00:00,2019-05-18T20:49:33.956534+00:00,76,"[7.0, 1558210333.960168, 10.0, 1558212573.956534, False, 0, 39.716, 39, 40.05546351351355, [[39.716, 9], [41.0744, 9], [40.1565, 1], [39.7532, 1], [39.8687, 1], [39.9364, 1], [40.1565, 9], [39.9364, 9], [40.1565, 9], [39.9364, 9], [40.1565, 9], [39.9364, 1], [40.1565, 1], [39.9364, 1], [40.1565, 1], [39.9364, 1], [40.1565, 1], [39.9364, 1], [40.1565, 9], [39.9364, 9], [40.1565, 9], [39.9364, 9], [40.1565, 9], [39.9364, 1], [40.1565, 1], [39.9364, 1], [40.1565, 1], [39.9364, 1], [40.1565, 1], [39.9364, 1], [40.1565, 9], [39.9364, 9], [40.1565, 9], [39.9364, 9], [40.1565, 9], [39.9364, 1], [40.1565, 1], [39.9364, 1], [40.1565, 1], [39.9364, 1], [40.1565, 1], [39.9364, 1], [40.1565, 9], [39.9364, 9], [40.1565, 9], [39.9364, 9], [40.1565, 9], [39.9364, 1], [40.1565, 1], [39.9364, 1], [40.1565, 9], [39.9364, 9], [40.1565, 9], [39.9364, 9], [40.1565, 9], [39.9364, 9], [40.1565, 9], [39.9364, 9], [40.1565, 9], [39.9364, 1], [40.1565, 1], [39.9364, 1], [40.1565, 1], [39.9364, 9], [40.1565, 9], [39.9364, 9], [40.1565, 9], [39.9364, 1], [40.1565, 1], [39.9364, 1], [40.1565, 1], [39.9364, 1], [40.1565, 9], [39.9364, 9], [40.1565, 9], [39.9364, 9]]]"
