date,cycle_time_utc,forecast_hour,valid_time_utc,ims_lat,ims_lon,TMP_2m,DPT_2m,UGRD_10m,VGRD_10m,GUST_surface,PRES_surface,TCDC_atmosphere,DSWRF_surface
20210522,2021-05-22T20:00:00+00:00,1,2021-05-22T21:00:00+00:00,39.795,-86.234,301.8621826171875,285.4289093017578,2.863758087158203,-0.4649372100830078,4.202776826918125,99830.0,100.0,668.0
20210522,2021-05-22T20:00:00+00:00,2,2021-05-22T22:00:00+00:00,39.795,-86.234,301.8231201171875,285.25746154785156,2.995983123779297,0.12568950653076172,3.872550204396248,99870.0,4.0,491.0
20210522,2021-05-22T20:00:00+00:00,3,2021-05-22T23:00:00+00:00,39.795,-86.234,301.29901123046875,284.46270751953125,3.2662277221679688,0.5749092102050781,4.3888029307127,99830.0,50.0,284.90000000000003
20210522,2021-05-22T21:00:00+00:00,0,2021-05-22T21:00:00+00:00,39.795,-86.234,302.42938232421875,286.7497863769531,3.2004404067993164,0.7214288711547852,4.8105839639902115,99920.0,32.0,632.0
20210522,2021-05-22T21:00:00+00:00,1,2021-05-22T22:00:00+00:00,39.795,-86.234,302.0142517089844,285.2111358642578,2.8327713012695312,0.9055900573730469,3.9158133417367935,99780.0,4.0,492.0
20210522,2021-05-22T21:00:00+00:00,2,2021-05-22T23:00:00+00:00,39.795,-86.234,301.3143005371094,283.8544158935547,3.588437080383301,0.4842052459716797,4.926091782748699,99800.0,2.0,295.2
20210522,2021-05-22T21:00:00+00:00,3,2021-05-23T00:00:00+00:00,39.795,-86.234,299.7747497558594,283.96453857421875,3.4992294311523438,0.9362087249755859,6.248189389705658,99810.0,0.0,110.0
20210522,2021-05-22T22:00:00+00:00,0,2021-05-22T22:00:00+00:00,39.795,-86.234,301.9833984375,286.5265197753906,3.1945743560791016,1.3769922256469727,4.571876257658005,99890.0,1.0,484.90000000000003
20210522,2021-05-22T22:00:00+00:00,1,2021-05-22T23:00:00+00:00,39.795,-86.234,301.17633056640625,285.3798370361328,3.6308774948120117,0.21862316131591797,5.186774417757988,99740.0,1.0,293.90000000000003
20210522,2021-05-22T22:00:00+00:00,2,2021-05-23T00:00:00+00:00,39.795,-86.234,299.7603759765625,284.43324279785156,3.2739410400390625,0.8409690856933594,5.830224335193634,99870.0,6.0,110.10000000000001
20210522,2021-05-22T22:00:00+00:00,3,2021-05-23T01:00:00+00:00,39.795,-86.234,297.115234375,286.356201171875,1.8815345764160156,0.43569374084472656,4.374709106981754,99880.0,0.0,0.0
20210522,2021-05-22T23:00:00+00:00,0,2021-05-22T23:00:00+00:00,39.795,-86.234,301.5336608886719,286.4372863769531,2.603952407836914,0.4998283386230469,4.117067933082581,99840.0,1.0,286.2
20210522,2021-05-22T23:00:00+00:00,1,2021-05-23T00:00:00+00:00,39.795,-86.234,300.28106689453125,286.5257263183594,3.0244903564453125,0.6321830749511719,5.009656652808189,99780.0,2.0,108.10000000000001
20210522,2021-05-22T23:00:00+00:00,2,2021-05-23T01:00:00+00:00,39.795,-86.234,297.6766357421875,286.57777404785156,2.264759063720703,0.42779541015625,4.68253892660141,99880.0,1.0,0.0
20210522,2021-05-22T23:00:00+00:00,3,2021-05-23T02:00:00+00:00,39.795,-86.234,295.77923583984375,287.06736755371094,2.0035018920898438,0.21264266967773438,4.125958651304245,99850.0,0.0,0.0
