fold_id,fold_role,test_year,model_name,diagnostic_type,feature_name,value,model_policy_hash
PRIMARY_LOYO_2021,PRIMARY,2021,ELASTIC_NET,STANDARDIZED_COEFFICIENT,forecast_temp_c,-0.5127407630553492,599dee972901168e7297d02344e29079cd45fe0f34813db733b15470fcaab806
PRIMARY_LOYO_2021,PRIMARY,2021,ELASTIC_NET,STANDARDIZED_COEFFICIENT,forecast_relative_humidity_pct,0.19322197927309254,599dee972901168e7297d02344e29079cd45fe0f34813db733b15470fcaab806
PRIMARY_LOYO_2021,PRIMARY,2021,ELASTIC_NET,STANDARDIZED_COEFFICIENT,forecast_wind_speed_10m_ms,0.0,599dee972901168e7297d02344e29079cd45fe0f34813db733b15470fcaab806
PRIMARY_LOYO_2021,PRIMARY,2021,ELASTIC_NET,STANDARDIZED_COEFFICIENT,forecast_wind_direction_sin,-0.5789290733138206,599dee972901168e7297d02344e29079cd45fe0f34813db733b15470fcaab806
PRIMARY_LOYO_2021,PRIMARY,2021,ELASTIC_NET,STANDARDIZED_COEFFICIENT,forecast_wind_direction_cos,0.18217626828640465,599dee972901168e7297d02344e29079cd45fe0f34813db733b15470fcaab806
PRIMARY_LOYO_2021,PRIMARY,2021,ELASTIC_NET,STANDARDIZED_COEFFICIENT,forecast_pressure_hpa,0.18172956236849114,599dee972901168e7297d02344e29079cd45fe0f34813db733b15470fcaab806
PRIMARY_LOYO_2021,PRIMARY,2021,ELASTIC_NET,STANDARDIZED_COEFFICIENT,forecast_cloud_cover_pct,0.2508171022551945,599dee972901168e7297d02344e29079cd45fe0f34813db733b15470fcaab806
PRIMARY_LOYO_2021,PRIMARY,2021,ELASTIC_NET,STANDARDIZED_COEFFICIENT,forecast_shortwave_radiation_wm2,0.32452255050769263,599dee972901168e7297d02344e29079cd45fe0f34813db733b15470fcaab806
PRIMARY_LOYO_2021,PRIMARY,2021,ELASTIC_NET,STANDARDIZED_COEFFICIENT,prior_supported_attempt_count,0.26913025027694276,599dee972901168e7297d02344e29079cd45fe0f34813db733b15470fcaab806
PRIMARY_LOYO_2021,PRIMARY,2021,ELASTIC_NET,STANDARDIZED_COEFFICIENT,seconds_since_prior_supported_attempt,-0.0,599dee972901168e7297d02344e29079cd45fe0f34813db733b15470fcaab806
