path,field_name,field_class,nonempty_samples
weather/evidence/rescue/official_day1_session_details/raw_api/2023_6202_session_details.json,EventsSessionsID,IDENTITY_LIKE,"[""6202""]"
weather/evidence/rescue/official_day1_session_details/raw_api/2023_6202_session_details.json,InLap,IDENTITY_LIKE,[]
weather/evidence/rescue/official_day1_session_details/raw_api/2023_6202_session_details.json,LapsComplete,IDENTITY_LIKE,[]
weather/evidence/rescue/official_day1_session_details/raw_api/2023_6202_session_details.json,LapsDown,IDENTITY_LIKE,[]
weather/evidence/rescue/official_day1_session_details/raw_api/2023_6202_session_details.json,LapsLed,IDENTITY_LIKE,[]
weather/evidence/rescue/official_day1_session_details/raw_api/2023_6202_session_details.json,QualLap1,IDENTITY_LIKE,"[""38.4076"", ""38.4325"", ""38.4209"", ""38.4776"", ""38.4939"", ""38.4521"", ""38.4476"", ""38.4896""]"
weather/evidence/rescue/official_day1_session_details/raw_api/2023_6202_session_details.json,QualLap2,IDENTITY_LIKE,"[""38.4107"", ""38.5016"", ""38.5113"", ""38.5261"", ""38.5038"", ""38.5745"", ""38.5243"", ""38.5635""]"
weather/evidence/rescue/official_day1_session_details/raw_api/2023_6202_session_details.json,QualLap3,IDENTITY_LIKE,"[""38.4977"", ""38.5623"", ""38.6079"", ""38.6047"", ""38.5797"", ""38.5677"", ""38.6581"", ""38.6360""]"
weather/evidence/rescue/official_day1_session_details/raw_api/2023_6202_session_details.json,QualLap4,IDENTITY_LIKE,"[""38.5650"", ""38.6605"", ""38.7031"", ""38.6365"", ""38.6810"", ""38.6825"", ""38.6632"", ""38.6503""]"
weather/evidence/rescue/official_day1_session_details/raw_api/2023_6202_session_details.json,SpeedAvg,IDENTITY_LIKE,"[""233.947"", ""233.528"", ""233.398"", ""233.395"", ""233.375"", ""233.347"", ""233.322"", ""233.252""]"
weather/evidence/rescue/official_day1_session_details/raw_api/2023_6202_session_details.json,SpeedAvgFormatted,IDENTITY_LIKE,"[""233.947"", ""233.528"", ""233.398"", ""233.395"", ""233.375"", ""233.347"", ""233.322"", ""233.252""]"
weather/evidence/rescue/official_day1_session_details/raw_api/2023_6202_session_details.json,Status,IDENTITY_LIKE,[]
weather/evidence/rescue/official_day1_session_details/raw_api/2024_6382_session_details.json,BestLapTime,TIME_LIKE,[]
weather/evidence/rescue/official_day1_session_details/raw_api/2024_6382_session_details.json,ElapsedTime,TIME_LIKE,"[""02:34.0053"", ""02:34.2863"", ""02:34.3124"", ""02:34.4609"", ""02:34.6634"", ""02:34.7965"", ""02:34.8074"", ""02:34.8415""]"
weather/evidence/rescue/official_day1_session_details/raw_api/2024_6382_session_details.json,EventsSessionsDetailsID,TIME_LIKE,"[""113228"", ""113229"", ""113230"", ""113231"", ""113232"", ""113233"", ""113234"", ""113235""]"
weather/evidence/rescue/official_day1_session_details/raw_api/2024_6382_session_details.json,EventsSessionsID,TIME_LIKE,"[""6382""]"
