path,file_type,read_ok,row_count,field_count,years,time_like_fields,identity_like_fields,has_time_like_field,error
weather/output/performance_grade_attempt_realized_environment_2024_supported.csv,.csv,True,7,30,2024,"[""session_id"", ""mapped_capture_event_id"", ""mapped_capture_time_utc"", ""environment_time_semantic"", ""ptsc_before_utc"", ""ptsc_after_utc""]","[""attempt_id"", ""session_id"", ""year"", ""car_number"", ""driver_name"", ""car_attempt_index"", ""mapped_capture_event_id"", ""ptsc_alignment_status""]",True,
weather/output/performance_grade_attempt_realized_environment_2024_supported_qa.csv,.csv,True,5,2,,[],[],False,
weather/output/performance_grade_attempt_realized_environment_qa.csv,.csv,True,3,5,"2020,2021,2023",[],"[""year""]",False,
weather/output/performance_grade_attempt_timing.csv,.csv,True,129,17,,"[""session_id"", ""mapped_capture_event_id"", ""mapped_capture_time_utc"", ""time_semantic_note""]","[""attempt_id"", ""session_id"", ""attempt_key"", ""car_number"", ""driver_name"", ""car_attempt_index"", ""mapped_capture_event_id"", ""calibration_status""]",True,
weather/output/performance_grade_attempt_timing_2024_supported.csv,.csv,True,7,16,,"[""session_id"", ""mapped_capture_event_id"", ""mapped_capture_time_utc"", ""time_semantic_note""]","[""attempt_id"", ""session_id"", ""attempt_key"", ""car_number"", ""driver_name"", ""car_attempt_index"", ""mapped_capture_event_id""]",True,
weather/output/performance_grade_attempt_timing_2024_supported_qa.csv,.csv,True,5,2,,[],[],False,
weather/output/performance_grade_attempt_timing_qa.csv,.csv,True,3,4,,"[""session_id"", ""performance_grade_timed_attempts""]","[""session_id"", ""canonical_attempts"", ""performance_grade_timed_attempts""]",True,
weather/output/performance_grade_hrrr_forecast_alignment.csv,.csv,True,136,99,,"[""session_id"", ""performance_time_utc"", ""selected_issue_time_utc"", ""selected_issue_age_minutes"", ""before_valid_time_utc"", ""after_valid_time_utc"", ""before_valid_offset_minutes"", ""after_valid_offset_minutes""]","[""attempt_id"", ""session_id"", ""car_number"", ""driver_name"", ""car_attempt_index"", ""forecast_wind_speed_10m_ms"", ""forecast_wind_speed_10m_ms_before"", ""forecast_wind_speed_10m_ms_after"", ""forecast_wind_speed_10m_ms_interpolation_method""]",True,
weather/output/performance_grade_hrrr_forecast_alignment_qa.csv,.csv,True,23,3,,[],"[""status""]",False,
weather/output/ptsc_attempt_realized_environment_alignment.csv,.csv,True,9,28,,"[""session_id"", ""event_time_quality"", ""anchor_event_type"", ""target_time_lower_utc"", ""target_time_upper_utc"", ""target_time_midpoint_utc"", ""ptsc_before_utc"", ""ptsc_after_utc""]","[""attempt_id"", ""session_id"", ""car_number"", ""driver_name"", ""car_attempt_index"", ""result_status"", ""event_time_quality"", ""anchor_event_type"", ""ptsc_interp_status""]",True,
weather/output/ptsc_attempt_realized_environment_alignment_qa.csv,.csv,True,6,3,,[],[],False,
weather/output/queue_wait_session_boundary_audit_v1.csv,.csv,True,4,9,2024,"[""boundary_source"", ""event_time_utc"", ""time_quality"", ""time_basis""]","[""year"", ""event_type"", ""event_time_utc""]",True,
weather/output/repeat_attempt_delta_baseline_aggregate_metrics_v1.csv,.csv,True,5,14,,[],[],False,
weather/output/repeat_attempt_delta_baseline_fold_metrics_v1.csv,.csv,True,15,16,,[],"[""test_year"", ""train_years""]",False,
weather/output/repeat_attempt_delta_baseline_predictions_v1.csv,.csv,True,195,14,,[],"[""test_year"", ""current_attempt_id"", ""baseline_attempt_id"", ""car_number"", ""driver_name""]",False,
weather/output/repeat_attempt_delta_baseline_qa_v1.csv,.csv,True,15,3,,[],"[""status""]",False,
weather/output/repeat_attempt_delta_model_coefficients_v1.csv,.csv,True,99,6,,[],"[""test_year""]",False,
weather/timing71_environment_field_audit.csv,.csv,True,6,15,"2020,2021,2022,2023,2024",[],"[""year""]",False,
weather/track_temperature_anchor_reconciliation.csv,.csv,True,3,12,"2022,2024","[""anchor_observation_id"", ""local_time"", ""utc_datetime"", ""anchor_value_f"", ""anchor_source_class"", ""ptsc_track_minus_anchor_f"", ""ptsc_sensor_avg_minus_anchor_f""]","[""year""]",True,
