resource_id,source_authority,historical_scope,raw_evidence_path,json_path,field_name,data_type,sample_value,lane_signal,priority_signal,queue_signal,line_signal,withdraw_signal,attempt_signal,timestamp_signal,position_signal,rank_signal,cutoff_signal,bump_signal,status_signal,race_control_signal,message_signal,semantic_assessment,notes
official_results_session_2021,OFFICIAL_FIRST_PARTY,HISTORICAL_CONFIRMED,weather/evidence/rescue/official_day1_session_details/raw_api/2021_5838_session_details.json,SessionReports,SessionReports,array,"[{""DocumentID"":""d8245705-9ee9-4ba0-92d7-a954f8cc47f1"",""DocumentType"":""Results"",""FileType"":""application/pdf"",""IsActive"":true,""Name"":""Results"",""SortOrder"":8,""Url"":""INDYCAR/Documents/5838/2021-05-22/indycar-results-quals-day1.pdf"",""modified_da",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO_TARGET_NAME_SIGNAL,Field names are inventoried without assigning event semantics.
official_results_session_2021,OFFICIAL_FIRST_PARTY,HISTORICAL_CONFIRMED,weather/evidence/rescue/official_day1_session_details/raw_api/2021_5838_session_details.json,SessionReports[].DocumentID,DocumentID,string,d8245705-9ee9-4ba0-92d7-a954f8cc47f1,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO_TARGET_NAME_SIGNAL,Field names are inventoried without assigning event semantics.
official_results_session_2021,OFFICIAL_FIRST_PARTY,HISTORICAL_CONFIRMED,weather/evidence/rescue/official_day1_session_details/raw_api/2021_5838_session_details.json,SessionReports[].DocumentType,DocumentType,string,Results,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO_TARGET_NAME_SIGNAL,Field names are inventoried without assigning event semantics.
official_results_session_2021,OFFICIAL_FIRST_PARTY,HISTORICAL_CONFIRMED,weather/evidence/rescue/official_day1_session_details/raw_api/2021_5838_session_details.json,SessionReports[].FileType,FileType,string,application/pdf,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO_TARGET_NAME_SIGNAL,Field names are inventoried without assigning event semantics.
official_results_session_2021,OFFICIAL_FIRST_PARTY,HISTORICAL_CONFIRMED,weather/evidence/rescue/official_day1_session_details/raw_api/2021_5838_session_details.json,SessionReports[].IsActive,IsActive,boolean,True,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO_TARGET_NAME_SIGNAL,Field names are inventoried without assigning event semantics.
official_results_session_2021,OFFICIAL_FIRST_PARTY,HISTORICAL_CONFIRMED,weather/evidence/rescue/official_day1_session_details/raw_api/2021_5838_session_details.json,SessionReports[].Name,Name,string,Results,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO_TARGET_NAME_SIGNAL,Field names are inventoried without assigning event semantics.
official_results_session_2021,OFFICIAL_FIRST_PARTY,HISTORICAL_CONFIRMED,weather/evidence/rescue/official_day1_session_details/raw_api/2021_5838_session_details.json,SessionReports[].SortOrder,SortOrder,integer,8,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO_TARGET_NAME_SIGNAL,Field names are inventoried without assigning event semantics.
official_results_session_2021,OFFICIAL_FIRST_PARTY,HISTORICAL_CONFIRMED,weather/evidence/rescue/official_day1_session_details/raw_api/2021_5838_session_details.json,SessionReports[].Url,Url,string,INDYCAR/Documents/5838/2021-05-22/indycar-results-quals-day1.pdf,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO_TARGET_NAME_SIGNAL,Field names are inventoried without assigning event semantics.
official_results_session_2021,OFFICIAL_FIRST_PARTY,HISTORICAL_CONFIRMED,weather/evidence/rescue/official_day1_session_details/raw_api/2021_5838_session_details.json,SessionReports[].modified_date,modified_date,string,/Date(1621721058220)/,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO_TARGET_NAME_SIGNAL,Field names are inventoried without assigning event semantics.
official_results_session_2021,OFFICIAL_FIRST_PARTY,HISTORICAL_CONFIRMED,weather/evidence/rescue/official_day1_session_details/raw_api/2021_5838_session_details.json,SessionType,SessionType,string,Q,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO_TARGET_NAME_SIGNAL,Field names are inventoried without assigning event semantics.
official_results_session_2021,OFFICIAL_FIRST_PARTY,HISTORICAL_CONFIRMED,weather/evidence/rescue/official_day1_session_details/raw_api/2021_5838_session_details.json,TrackType,TrackType,string,I,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO_TARGET_NAME_SIGNAL,Field names are inventoried without assigning event semantics.
official_results_session_2021,OFFICIAL_FIRST_PARTY,HISTORICAL_CONFIRMED,weather/evidence/rescue/official_day1_session_details/raw_api/2021_5838_session_details.json,records,records,array,"[{""BestLapTime"":null,""BestSpeed"":null,""BestSpeedFormatted"":null,""CarNumber"":""9"",""Difference"":null,""DriverName"":""Scott Dixon"",""DriverOverrideID"":3628,""DriverUrl"":""/Drivers/Scott-Dixon"",""DriversID"":3628,""ElapsedTime"":""02:35.2874"",""EventsEntry",NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NAME_SIGNAL_ONLY_REVIEW_REQUIRED,Field names are inventoried without assigning event semantics.
official_results_session_2021,OFFICIAL_FIRST_PARTY,HISTORICAL_CONFIRMED,weather/evidence/rescue/official_day1_session_details/raw_api/2021_5838_session_details.json,records[].BestLapTime,BestLapTime,null,,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NAME_SIGNAL_ONLY_REVIEW_REQUIRED,Field names are inventoried without assigning event semantics.
official_results_session_2021,OFFICIAL_FIRST_PARTY,HISTORICAL_CONFIRMED,weather/evidence/rescue/official_day1_session_details/raw_api/2021_5838_session_details.json,records[].BestSpeed,BestSpeed,null,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO_TARGET_NAME_SIGNAL,Field names are inventoried without assigning event semantics.
official_results_session_2021,OFFICIAL_FIRST_PARTY,HISTORICAL_CONFIRMED,weather/evidence/rescue/official_day1_session_details/raw_api/2021_5838_session_details.json,records[].BestSpeedFormatted,BestSpeedFormatted,null,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO_TARGET_NAME_SIGNAL,Field names are inventoried without assigning event semantics.
