year,id,json_path,key,value_preview
2025,03072250-77e5-43d5-9844-4550ecd8ae34,$.cars.cars.2.stints[0].laps[0].car,car,2
2025,03072250-77e5-43d5-9844-4550ecd8ae34,$.cars.cars.2.stints[0].laps[1].lapNumber,lapNumber,2
2025,03072250-77e5-43d5-9844-4550ecd8ae34,$.cars.cars.2.stints[0].laps[1].laptime,laptime,38.6151
2025,03072250-77e5-43d5-9844-4550ecd8ae34,$.cars.cars.2.stints[0].laps[1].driver,driver,0
2025,03072250-77e5-43d5-9844-4550ecd8ae34,$.cars.cars.2.stints[0].laps[1].timestamp,timestamp,1747505258737
2025,03072250-77e5-43d5-9844-4550ecd8ae34,$.cars.cars.2.stints[0].laps[1].car,car,2
2025,03072250-77e5-43d5-9844-4550ecd8ae34,$.cars.cars.2.stints[0].laps[2].lapNumber,lapNumber,3
2025,03072250-77e5-43d5-9844-4550ecd8ae34,$.cars.cars.2.stints[0].laps[2].laptime,laptime,38.6252
2025,03072250-77e5-43d5-9844-4550ecd8ae34,$.cars.cars.2.stints[0].laps[2].driver,driver,0
2025,03072250-77e5-43d5-9844-4550ecd8ae34,$.cars.cars.2.stints[0].laps[2].timestamp,timestamp,1747505297102
2025,03072250-77e5-43d5-9844-4550ecd8ae34,$.cars.cars.2.stints[0].laps[2].car,car,2
2025,03072250-77e5-43d5-9844-4550ecd8ae34,$.cars.cars.2.stints[0].laps[3].lapNumber,lapNumber,4
2025,03072250-77e5-43d5-9844-4550ecd8ae34,$.cars.cars.2.stints[0].laps[3].laptime,laptime,38.6271
2025,03072250-77e5-43d5-9844-4550ecd8ae34,$.cars.cars.2.stints[0].laps[3].driver,driver,0
2025,03072250-77e5-43d5-9844-4550ecd8ae34,$.cars.cars.2.stints[0].laps[3].timestamp,timestamp,1747505335449
2025,03072250-77e5-43d5-9844-4550ecd8ae34,$.cars.cars.2.stints[0].laps[3].car,car,2
2025,03072250-77e5-43d5-9844-4550ecd8ae34,$.cars.cars.2.stints[0].laps[4].lapNumber,lapNumber,5
2025,03072250-77e5-43d5-9844-4550ecd8ae34,$.cars.cars.2.stints[0].laps[4].laptime,laptime,38.6362
2025,03072250-77e5-43d5-9844-4550ecd8ae34,$.cars.cars.2.stints[0].laps[4].driver,driver,0
2025,03072250-77e5-43d5-9844-4550ecd8ae34,$.cars.cars.2.stints[0].laps[4].timestamp,timestamp,1747505373835
2025,03072250-77e5-43d5-9844-4550ecd8ae34,$.cars.cars.2.stints[0].laps[4].car,car,2
2025,03072250-77e5-43d5-9844-4550ecd8ae34,$.cars.cars.2.highestSeenFlagThisLap,highestSeenFlagThisLap,1
2025,03072250-77e5-43d5-9844-4550ecd8ae34,$.cars.cars.3.drivers,drivers,"[{'idx': 0, 'car': '3', 'name': 'Scott McLaughlin'}]"
2025,03072250-77e5-43d5-9844-4550ecd8ae34,$.cars.cars.3.drivers[0].car,car,3
2025,03072250-77e5-43d5-9844-4550ecd8ae34,$.cars.cars.3.currentLap,currentLap,6
2025,03072250-77e5-43d5-9844-4550ecd8ae34,$.cars.cars.3.stints[0].startLap,startLap,1
2025,03072250-77e5-43d5-9844-4550ecd8ae34,$.cars.cars.3.stints[0].startTime,startTime,1747501934890
2025,03072250-77e5-43d5-9844-4550ecd8ae34,$.cars.cars.3.stints[0].car,car,3
2025,03072250-77e5-43d5-9844-4550ecd8ae34,$.cars.cars.3.stints[0].driver,driver,0
