year,file,json_path,depth,value_type
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.driver.10,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.driver.39,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.driver.12,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.driver.59,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.driver.14,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.driver.19,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.driver.18,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.driver.31,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.driver.30,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.driver.33,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.driver.48,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.state,1,dict
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.state.cars,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.state.session,2,dict
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.state.session.timeRemain,3,int
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.state.session.flagState,3,str
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.state.session.timeElapsed,3,int
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.state.messages,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.state.highlight,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.session,1,dict
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.session.currentTimestamp,2,float
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.session.flagStats,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.session.leaderLap,2,int
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.static,1,dict
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.static.28,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.static.60,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.static.88,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.static.63,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.static.66,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.static.81,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.static.24,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.static.25,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.static.26,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.static.27,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.static.20,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.static.21,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.static.22,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.static.23,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.static.42,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.static.3,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.static.2,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.static.5,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.static.4,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.static.7,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.static.5T,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.static.9,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.static.77,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.static.98,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.static.15,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.static.32,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.static.10,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.static.39,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.static.12,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.static.59,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.static.14,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.static.19,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.static.18,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.static.31,2,list
