year,file,page,line_no,section,section_length_miles,section_rank,car_number,driver_name,cet,session_elapsed,session_elapsed_s,reported_section_value,lap_number,raw_line,driver_key,car_key,entrant_key,elapsed_order_within_year
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,3,7,T1 to SS1,0.3125,1,20,"Carpenter, Ed",D/C/F,00:04.8992,4.8992,229.629,0,"1 20 Carpenter, Ed D/C/F 00:04.8992 229.629 0",carpentered,20,carpentered__20,289
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,3,8,T1 to SS1,0.3125,2,13,"Patrick, Danica",D/C/F,00:04.9046,4.9046,229.377,0,"2 13 Patrick, Danica D/C/F 00:04.9046 229.377 0",patrickdanica,13,patrickdanica__13,293
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,3,9,T1 to SS1,0.3125,3,18,"Bourdais, Sebastien",D/H/F,00:04.9179,4.9179,228.756,0,"3 18 Bourdais, Sebastien D/H/F 00:04.9179 228.756 0",bourdaissebastien,18,bourdaissebastien__18,302
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,3,10,T1 to SS1,0.3125,4,1,"Newgarden, Josef",D/C/F,00:04.9289,4.9289,228.246,0,"4 1 Newgarden, Josef D/C/F 00:04.9289 228.246 0",newgardenjosef,1,newgardenjosef__1,313
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,3,11,T1 to SS1,0.3125,5,12,"Power, Will",D/C/F,00:04.9290,4.929,228.241,2,"5 12 Power, Will D/C/F 00:04.9290 228.241 2",powerwill,12,powerwill__12,314
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,3,12,T1 to SS1,0.3125,6,27,"Rossi, Alexander",D/H/F,00:04.9293,4.9293,228.227,5,"6 27 Rossi, Alexander D/H/F 00:04.9293 228.227 5",rossialexander,27,rossialexander__27,315
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,3,13,T1 to SS1,0.3125,7,9,"Dixon, Scott",D/H/F,00:04.9337,4.9337,228.024,5,"7 9 Dixon, Scott D/H/F 00:04.9337 228.024 5",dixonscott,9,dixonscott__9,316
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,3,14,T1 to SS1,0.3125,8,4,"Leist, Matheus (R)",D/C/F,00:04.9356,4.9356,227.936,1,"8 4 Leist, Matheus (R) D/C/F 00:04.9356 227.936 1",leistmatheus,4,leistmatheus__4,317
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,3,15,T1 to SS1,0.3125,9,98,"Andretti, Marco",D/H/F,00:04.9459,4.9459,227.461,2,"9 98 Andretti, Marco D/H/F 00:04.9459 227.461 2",andrettimarco,98,andrettimarco__98,325
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,3,16,T1 to SS1,0.3125,10,3,"Castroneves, Helio",D/C/F,00:04.9461,4.9461,227.452,2,"10 3 Castroneves, Helio D/C/F 00:04.9461 227.452 2",castroneveshelio,3,castroneveshelio__3,326
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,3,17,T1 to SS1,0.3125,11,28,"Hunter-Reay, Ryan",D/H/F,00:04.9463,4.9463,227.443,5,"11 28 Hunter-Reay, Ryan D/H/F 00:04.9463 227.443 5",hunterreayryan,28,hunterreayryan__28,327
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,3,18,T1 to SS1,0.3125,12,14,"Kanaan, Tony",D/C/F,00:04.9464,4.9464,227.438,0,"12 14 Kanaan, Tony D/C/F 00:04.9464 227.438 0",kanaantony,14,kanaantony__14,328
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,3,19,T1 to SS1,0.3125,13,66,"Hildebrand, JR",D/C/F,00:04.9467,4.9467,227.424,0,"13 66 Hildebrand, JR D/C/F 00:04.9467 227.424 0",hildebrandjr,66,hildebrandjr__66,329
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,3,20,T1 to SS1,0.3125,14,21,"Pigot, Spencer",D/C/F,00:04.9492,4.9492,227.309,0,"14 21 Pigot, Spencer D/C/F 00:04.9492 227.309 0",pigotspencer,21,pigotspencer__21,332
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,3,21,T1 to SS1,0.3125,15,26,"Veach, Zach",D/H/F,00:04.9552,4.9552,227.034,0,"15 26 Veach, Zach D/H/F 00:04.9552 227.034 0",veachzach,26,veachzach__26,337
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,3,22,T1 to SS1,0.3125,16,32,"Kaiser, Kyle (R)",D/C/F,00:04.9565,4.9565,226.975,0,"16 32 Kaiser, Kyle (R) D/C/F 00:04.9565 226.975 0",kaiserkyle,32,kaiserkyle__32,338
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,3,23,T1 to SS1,0.3125,17,29,"Munoz, Carlos",D/H/F,00:04.9572,4.9572,226.943,1,"17 29 Munoz, Carlos D/H/F 00:04.9572 226.943 1",munozcarlos,29,munozcarlos__29,339
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,3,24,T1 to SS1,0.3125,18,22,"Pagenaud, Simon",D/C/F,00:04.9572,4.9572,226.943,2,"18 22 Pagenaud, Simon D/C/F 00:04.9572 226.943 2",pagenaudsimon,22,pagenaudsimon__22,339
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,3,25,T1 to SS1,0.3125,19,6,"Wickens, Robert (R)",D/H/F,00:04.9616,4.9616,226.741,1,"19 6 Wickens, Robert (R) D/H/F 00:04.9616 226.741 1",wickensrobert,6,wickensrobert__6,345
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,3,26,T1 to SS1,0.3125,20,10,"Jones, Ed",D/H/F,00:04.9648,4.9648,226.595,0,"20 10 Jones, Ed D/H/F 00:04.9648 226.595 0",jonesed,10,jonesed__10,349
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,3,27,T1 to SS1,0.3125,21,30,"Sato, Takuma",D/H/F,00:04.9668,4.9668,226.504,0,"21 30 Sato, Takuma D/H/F 00:04.9668 226.504 0",satotakuma,30,satotakuma__30,350
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,3,28,T1 to SS1,0.3125,22,23,"Kimball, Charlie",D/C/F,00:04.9671,4.9671,226.49,0,"22 23 Kimball, Charlie D/C/F 00:04.9671 226.490 0",kimballcharlie,23,kimballcharlie__23,352
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,3,29,T1 to SS1,0.3125,23,33,"Davison, James",D/C/F,00:04.9700,4.97,226.358,0,"23 33 Davison, James D/C/F 00:04.9700 226.358 0",davisonjames,33,davisonjames__33,355
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,3,30,T1 to SS1,0.3125,24,24,"Karam, Sage",D/C/F,00:04.9701,4.9701,226.354,2,"24 24 Karam, Sage D/C/F 00:04.9701 226.354 2",karamsage,24,karamsage__24,356
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,3,31,T1 to SS1,0.3125,25,60,"Harvey, Jack",D/H/F,00:04.9717,4.9717,226.281,5,"25 60 Harvey, Jack D/H/F 00:04.9717 226.281 5",harveyjack,60,harveyjack__60,358
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,3,32,T1 to SS1,0.3125,26,88,"Chaves, Gabby",D/C/F,00:04.9743,4.9743,226.162,0,"26 88 Chaves, Gabby D/C/F 00:04.9743 226.162 0",chavesgabby,88,chavesgabby__88,362
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,3,33,T1 to SS1,0.3125,27,25,"Wilson, Stefan",D/H/F,00:04.9754,4.9754,226.112,1,"27 25 Wilson, Stefan D/H/F 00:04.9754 226.112 1",wilsonstefan,25,wilsonstefan__25,364
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,3,34,T1 to SS1,0.3125,28,5,"Hinchcliffe, James",D/H/F,00:04.9774,4.9774,226.022,0,"28 5 Hinchcliffe, James D/H/F 00:04.9774 226.022 0",hinchcliffejames,5,hinchcliffejames__5,367
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,3,35,T1 to SS1,0.3125,29,59,"Chilton, Max",D/C/F,00:04.9782,4.9782,225.985,0,"29 59 Chilton, Max D/C/F 00:04.9782 225.985 0",chiltonmax,59,chiltonmax__59,368
