path,file_type,status,rows_sampled,total_columns,filename_relevant,year_columns,attempt_like_columns,time_like_columns,weather_like_columns,has_2018,has_2019,has_2025,has_2026,hits_2018,hits_2019,hits_2025,hits_2026
r5/output/r5_manual_physics_model_comparison_v1.csv,csv,OK,9,9,False,,,,,False,False,False,False,0,0,0,0
r5/output/r5e_thermal_suitability_proxy.csv,csv,OK,51,3,False,,,,track_temperature_c,False,False,False,False,0,0,0,0
r5/output/r5h_ablation_results.csv,csv,OK,5,6,True,,,,,False,False,False,False,0,0,0,0
r5/output/r5g_qa.csv,csv,OK,6,4,False,,,,,False,False,False,False,0,0,0,0
r5/output/r5_final_thermal_response_repeat_predictions_v1.csv,csv,OK,27,10,False,year,driver_name|car_number|before_attempt_id|after_attempt_id|delta_speed_mph|fitted_full_sample_delta_speed_mph|loyo_predicted_delta_speed_mph,,before_attempt_id|after_attempt_id|delta_track_temp_c,False,False,False,False,0,0,0,0
r5/output/r5g_action_mc_results.csv,csv,OK,160,14,True,,mean_expected_delta_speed_mph|mean_attempt_speed_mph|mean_final_speed_mph,,mean_future_track_temp_c|mean_attempt_speed_mph,True,True,False,False,2,1,0,0
r5/output/r5g_priority_thermal_sensitivity.csv,csv,OK,300,10,False,,lane1_expected_delta_speed_mph|lane2_expected_delta_speed_mph,,lane1_future_track_temp_mean_c|lane2_future_track_temp_mean_c,False,False,False,False,0,0,0,0
r5/frozen_inputs/day1/day1_environment_linked_transitions_39_FROZEN.csv,csv,OK,39,54,True,year|session_id|before_time_utc|after_time_utc|before_time_class|after_time_class,car_number|driver_name|before_attempt_id|after_attempt_id|before_run_index|after_run_index|elapsed_between_performance_observations_min|elapsed_semantic|before_four_lap_average_speed_mph|after_four_lap_average_speed_mph|delta_four_lap_average_speed_mph|before_lap1_to_lap4_delta_mph|after_lap1_to_lap4_delta_mph|delta_lap1_to_lap4_shape_mph|before_late_run_fade_mph|after_late_run_fade_mph|delta_late_run_fade_mph|speed_improved|delta_forecast_wind_speed_10m_ms,before_time_utc|after_time_utc|before_time_class|after_time_class,before_attempt_id|after_attempt_id|before_ptsc_track_c|after_ptsc_track_c|delta_ptsc_track_c|ptsc_track_change_rate_c_per_min|before_ptsc_ambient_c|after_ptsc_ambient_c|delta_ptsc_ambient_c|ptsc_ambient_change_rate_c_per_min|delta_ptsc_humidity|delta_ptsc_wind|before_forecast_temp_c|after_forecast_temp_c|delta_forecast_temp_c|forecast_temp_change_rate_c_per_min|delta_forecast_relative_humidity_pct|delta_forecast_wind_speed_10m_ms|delta_forecast_gust_ms|delta_forecast_pressure_hpa|delta_forecast_cloud_cover_pct|delta_forecast_shortwave_radiation_wm2|forecast_shortwave_change_rate_wm2_per_min,False,False,False,False,0,0,0,0
r5/frozen_inputs/last_chance/last_chance_official_performance_15_FROZEN.csv,csv,OK,15,33,False,year|session_regime|session_id|events_sessions_details_id|elapsed_time_raw|time_quality,car_number|driver_name|elapsed_time_raw|lap1_s|lap2_s|lap3_s|lap4_s|four_lap_average_speed_mph|recomputed_four_lap_average_speed_mph|speed_recompute_error_mph|lap1_to_lap4_delta_s|late_run_fade_s|attempt_sequence_status|withdraw_before_attempt|result_retained_before_attempt|time_quality,elapsed_time_raw|time_quality,attempt_sequence_status|withdraw_before_attempt|result_retained_before_attempt,False,False,False,False,0,0,0,0
r5/frozen_inputs/last_chance/last_chance_attempt_chronology_22_FROZEN.csv,csv,OK,22,22,True,year|session_regime|exact_timestamp|timestamp_status,car_number|driver_name|attempt_ordinal|attempt_ordinal_quality|chronology_quality,exact_timestamp|timestamp_status,attempt_ordinal|attempt_ordinal_quality,False,False,False,False,0,0,0,0
r4/output/r4f8g_uncertainty_parameters_v1.csv,csv,OK,61,18,False,same_session_other_support_count,run_noise_floor_sd_mph,,,False,False,False,False,0,0,0,0
r4/output/r4f7t0_2022_2025_support_summary_v1.csv,csv,OK,2,8,False,year|candidate_files|files_with_time_and_speed|files_with_order_or_time_and_speed,canonical_attempt_rows|files_with_speed|files_with_time_and_speed|files_with_order_or_time_and_speed,files_with_time_and_speed|files_with_order_or_time_and_speed,canonical_attempt_rows,False,False,True,False,0,0,1,0
r4/output/r4f7c7_final_architecture_freeze_qa_v1.csv,csv,OK,9,4,False,,,,,False,False,False,False,0,0,0,0
r4/output/r4p10_thermal_conditioned_repeat_metrics_v1.csv,csv,OK,25,8,False,test_year,,,,False,False,False,False,0,0,0,0
r4/output/r4lc4_last_chance_repeat_group_summary_v1.csv,csv,OK,13,10,False,year|repeat_candidate|events_sessions_details_ids,car_number|driver_name|speeds_mph,,,False,False,False,False,0,0,0,0
