path,key,value_type,value,year,session_id
root.records[29].ElapsedTime,ElapsedTime,str,02:39.7114,2018,5320
root.records[29].LapsComplete,LapsComplete,NoneType,None,2018,5320
root.records[29].LapsDown,LapsDown,NoneType,None,2018,5320
root.records[29].BestLapTime,BestLapTime,NoneType,None,2018,5320
root.records[29].InLap,InLap,NoneType,None,2018,5320
root.records[29].LapsLed,LapsLed,NoneType,None,2018,5320
root.records[29].QualLap1,QualLap1,str, 39.9401,2018,5320
root.records[29].QualLap2,QualLap2,str, 39.9292,2018,5320
root.records[29].QualLap3,QualLap3,str, 39.9339,2018,5320
root.records[29].QualLap4,QualLap4,str, 39.9082,2018,5320
root.records[30].DriverUrl,DriverUrl,NoneType,None,2018,5320
root.records[30].ElapsedTime,ElapsedTime,str,02:39.9953,2018,5320
root.records[30].LapsComplete,LapsComplete,NoneType,None,2018,5320
root.records[30].LapsDown,LapsDown,NoneType,None,2018,5320
root.records[30].BestLapTime,BestLapTime,NoneType,None,2018,5320
root.records[30].InLap,InLap,NoneType,None,2018,5320
root.records[30].LapsLed,LapsLed,NoneType,None,2018,5320
root.records[30].QualLap1,QualLap1,str, 39.9216,2018,5320
root.records[30].QualLap2,QualLap2,str, 39.9581,2018,5320
root.records[30].QualLap3,QualLap3,str, 39.9219,2018,5320
root.records[30].QualLap4,QualLap4,str, 40.1937,2018,5320
root.records[31].DriverUrl,DriverUrl,str,/Drivers/Conor-Daly,2018,5320
root.records[31].ElapsedTime,ElapsedTime,str,02:40.0897,2018,5320
root.records[31].LapsComplete,LapsComplete,NoneType,None,2018,5320
root.records[31].LapsDown,LapsDown,NoneType,None,2018,5320
root.records[31].BestLapTime,BestLapTime,NoneType,None,2018,5320
root.records[31].InLap,InLap,NoneType,None,2018,5320
root.records[31].LapsLed,LapsLed,NoneType,None,2018,5320
root.records[31].QualLap1,QualLap1,str, 39.9928,2018,5320
root.records[31].QualLap2,QualLap2,str, 40.0111,2018,5320
root.records[31].QualLap3,QualLap3,str, 40.0315,2018,5320
root.records[31].QualLap4,QualLap4,str, 40.0543,2018,5320
root.records[32].DriverUrl,DriverUrl,NoneType,None,2018,5320
root.records[32].ElapsedTime,ElapsedTime,str,02:40.1439,2018,5320
root.records[32].LapsComplete,LapsComplete,NoneType,None,2018,5320
root.records[32].LapsDown,LapsDown,NoneType,None,2018,5320
root.records[32].BestLapTime,BestLapTime,NoneType,None,2018,5320
root.records[32].InLap,InLap,NoneType,None,2018,5320
root.records[32].LapsLed,LapsLed,NoneType,None,2018,5320
root.records[32].QualLap1,QualLap1,str, 39.9033,2018,5320
root.records[32].QualLap2,QualLap2,str, 39.9934,2018,5320
root.records[32].QualLap3,QualLap3,str, 40.0588,2018,5320
root.records[32].QualLap4,QualLap4,str, 40.1884,2018,5320
root.records[33].DriverUrl,DriverUrl,str,/Drivers/Scott-Dixon,2018,5320
root.records[33].ElapsedTime,ElapsedTime,str,02:38.1787,2018,5320
root.records[33].LapsComplete,LapsComplete,NoneType,None,2018,5320
root.records[33].LapsDown,LapsDown,NoneType,None,2018,5320
