year,file,car,field,path,type,repr,looks_timestamp,timestamp_utc,timestamp_indianapolis
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,66,stint,$.stint.66[0][9][22][1],int,1,False,,
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,66,stint,$.stint.66[0][9][23][0],float,40.249,False,,
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,66,stint,$.stint.66[0][9][23][1],int,9,False,,
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,66,stint,$.stint.66[0][9][24][0],float,40.21,False,,
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,66,stint,$.stint.66[0][9][24][1],int,1,False,,
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,66,stint,$.stint.66[0][9][25][0],float,40.249,False,,
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,66,stint,$.stint.66[0][9][25][1],int,1,False,,
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,66,stint,$.stint.66[0][9][26][0],float,40.21,False,,
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,66,stint,$.stint.66[0][9][26][1],int,1,False,,
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,66,stint,$.stint.66[0][9][27][0],float,40.249,False,,
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,66,stint,$.stint.66[0][9][27][1],int,1,False,,
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,66,stint,$.stint.66[0][9][28][0],float,40.21,False,,
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,66,stint,$.stint.66[0][9][28][1],int,1,False,,
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,66,stint,$.stint.66[0][9][29][0],float,40.249,False,,
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,66,stint,$.stint.66[0][9][29][1],int,1,False,,
