year,driver_name,driver_key,car_number,reference_speed_mph,reference_type,reference_priority,source_quality,source_type,source_file,extraction_method,model_role,provenance_note,pdf_position,pdf_lap_time
2024,Pietro Fittipaldi,pietro fittipaldi,30,231.586,GENERAL_FAST_FRIDAY_BEST_SPEED,1,HIGH,OFFICIAL_RESULTS_PDF,r4/evidence/fast_friday/2024_fast_friday_practice5_results.pdf,PDFTOTEXT,VALIDATION_ONLY,Deterministically parsed from official Fast Friday session result row.,29,00:38.8624
2024,Rinus VeeKay,rinus veekay,21,233.08,GENERAL_FAST_FRIDAY_BEST_SPEED,1,HIGH,OFFICIAL_RESULTS_PDF,r4/evidence/fast_friday/2024_fast_friday_practice5_results.pdf,PDFTOTEXT,VALIDATION_ONLY,Deterministically parsed from official Fast Friday session result row.,15,00:38.6134
2024,Romain Grosjean,romain grosjean,77,232.135,GENERAL_FAST_FRIDAY_BEST_SPEED,1,HIGH,OFFICIAL_RESULTS_PDF,r4/evidence/fast_friday/2024_fast_friday_practice5_results.pdf,PDFTOTEXT,VALIDATION_ONLY,Deterministically parsed from official Fast Friday session result row.,25,00:38.7706
2024,Ryan Hunter-Reay,ryan hunter reay,23,233.193,GENERAL_FAST_FRIDAY_BEST_SPEED,1,HIGH,OFFICIAL_RESULTS_PDF,r4/evidence/fast_friday/2024_fast_friday_practice5_results.pdf,PDFTOTEXT,VALIDATION_ONLY,Deterministically parsed from official Fast Friday session result row.,13,00:38.5947
2024,Santino Ferrucci,santino ferrucci,14,233.412,GENERAL_FAST_FRIDAY_BEST_SPEED,1,HIGH,OFFICIAL_RESULTS_PDF,r4/evidence/fast_friday/2024_fast_friday_practice5_results.pdf,PDFTOTEXT,VALIDATION_ONLY,Deterministically parsed from official Fast Friday session result row.,10,00:38.5585
2024,Scott Dixon,scott dixon,9,232.473,GENERAL_FAST_FRIDAY_BEST_SPEED,1,HIGH,OFFICIAL_RESULTS_PDF,r4/evidence/fast_friday/2024_fast_friday_practice5_results.pdf,PDFTOTEXT,VALIDATION_ONLY,Deterministically parsed from official Fast Friday session result row.,21,00:38.7142
2024,Scott McLaughlin,scott mclaughlin,3,233.623,FOUR_LAP_QUALIFYING_SIM,3,VERY_HIGH,OFFICIAL_EDITORIAL_HTML,r4/evidence/fast_friday/2024_fast_friday_official_editorial.html,EXPLICIT_VERIFIED_STATEMENT,VALIDATION_ONLY,Official editorial: second-fastest qualifying sim.,,
2024,Sting Ray Robb,sting ray robb,41,233.042,GENERAL_FAST_FRIDAY_BEST_SPEED,1,HIGH,OFFICIAL_RESULTS_PDF,r4/evidence/fast_friday/2024_fast_friday_practice5_results.pdf,PDFTOTEXT,VALIDATION_ONLY,Deterministically parsed from official Fast Friday session result row.,16,00:38.6197
2024,Takuma Sato,takuma sato,75,233.679,GENERAL_FAST_FRIDAY_BEST_SPEED,1,HIGH,OFFICIAL_RESULTS_PDF,r4/evidence/fast_friday/2024_fast_friday_practice5_results.pdf,PDFTOTEXT,VALIDATION_ONLY,Deterministically parsed from official Fast Friday session result row.,9,00:38.5144
2024,Tom Blomqvist,tom blomqvist,66,232.246,GENERAL_FAST_FRIDAY_BEST_SPEED,1,HIGH,OFFICIAL_RESULTS_PDF,r4/evidence/fast_friday/2024_fast_friday_practice5_results.pdf,PDFTOTEXT,VALIDATION_ONLY,Deterministically parsed from official Fast Friday session result row.,23,00:38.7520
2024,Will Power,will power,12,233.451,FOUR_LAP_QUALIFYING_SIM,3,VERY_HIGH,OFFICIAL_EDITORIAL_HTML,r4/evidence/fast_friday/2024_fast_friday_official_editorial.html,EXPLICIT_VERIFIED_STATEMENT,VALIDATION_ONLY,Official editorial: third-fastest qualifying sim.,,
