year,car_number,driver_name,attempt_id,attempt_index,attempt_time_utc,reference_attempt_id,reference_time_utc,reference_speed_mph,observed_speed_mph,residual_vs_first_run_mph,minutes_since_reference,baseline_policy,past_only_eligible
2023,27,Kyle Kirkwood,970e09d9-9783-53a2-ac70-f2117bee1d09,3,2023-05-20T20:10:26+00:00,dda33fdd-49c8-5082-a03d-252bf1a6fa49,2023-05-20T17:14:58+00:00,232.390000,232.662000,0.272000,175.467,SAME_DAY_FIRST_USABLE_COMPLETE_POINT_TIMED_RUN,True
2023,29,Devlin DeFrancesco,ab6f7ab5-b6ba-5e02-9560-f89bd35b575c,2,2023-05-20T19:04:53+00:00,f10d3a91-6f0d-59f0-9ea9-4db5cf6e44b9,2023-05-20T16:23:23+00:00,231.273000,231.353000,0.080000,161.500,SAME_DAY_FIRST_USABLE_COMPLETE_POINT_TIMED_RUN,True
2023,33,Ed Carpenter,2b14c17d-769c-504e-819b-55270bb93b13,2,2023-05-20T19:25:49+00:00,04dd64f3-9175-537b-b611-47d98856e4b7,2023-05-20T16:05:13+00:00,232.620000,232.511000,-0.109000,200.600,SAME_DAY_FIRST_USABLE_COMPLETE_POINT_TIMED_RUN,True
2023,33,Ed Carpenter,55035890-97e8-57a3-a2e1-4845f4b05eb9,3,2023-05-20T20:47:30+00:00,04dd64f3-9175-537b-b611-47d98856e4b7,2023-05-20T16:05:13+00:00,232.620000,232.689000,0.069000,282.283,SAME_DAY_FIRST_USABLE_COMPLETE_POINT_TIMED_RUN,True
2023,66,Tony Kanaan,fdb7fb74-bf21-54a6-8668-36c035e40628,2,2023-05-20T18:58:45+00:00,09f4cf1e-3fb8-5bfc-808c-b733eb495b54,2023-05-20T16:00:52+00:00,232.446000,232.620000,0.174000,177.883,SAME_DAY_FIRST_USABLE_COMPLETE_POINT_TIMED_RUN,True
2023,66,Tony Kanaan,d1af19f4-254b-5058-b545-543906d4584e,3,2023-05-20T20:33:51+00:00,09f4cf1e-3fb8-5bfc-808c-b733eb495b54,2023-05-20T16:00:52+00:00,232.446000,233.347000,0.901000,272.983,SAME_DAY_FIRST_USABLE_COMPLETE_POINT_TIMED_RUN,True
2023,77,Callum Ilott,333cf68d-54d9-5559-ac70-c73c27086892,2,2023-05-20T18:45:04+00:00,f7e8b948-2fd0-5183-971b-aaea5c66c226,2023-05-20T16:41:46+00:00,227.720000,231.182000,3.462000,123.300,SAME_DAY_FIRST_USABLE_COMPLETE_POINT_TIMED_RUN,True
2023,8,Marcus Ericsson,fce06089-154b-512e-a547-fd144ec0961c,2,2023-05-20T18:14:06+00:00,67f2af5c-ca4c-55e7-8c2a-5361873b43cc,2023-05-20T15:24:22+00:00,232.735000,232.421000,-0.314000,169.733,SAME_DAY_FIRST_USABLE_COMPLETE_POINT_TIMED_RUN,True
2023,8,Marcus Ericsson,79d389ee-b055-582a-8985-c09472aa4d69,3,2023-05-20T19:57:53+00:00,67f2af5c-ca4c-55e7-8c2a-5361873b43cc,2023-05-20T15:24:22+00:00,232.735000,233.030000,0.295000,273.517,SAME_DAY_FIRST_USABLE_COMPLETE_POINT_TIMED_RUN,True
2023,9,Scott Dixon,3a0bcd66-fa08-5944-bf0b-5ec6c5a10f91,2,2023-05-20T19:07:40+00:00,ad6c40ac-4389-5426-b8e5-1d130ac9da81,2023-05-20T15:37:44+00:00,232.914000,233.375000,0.461000,209.933,SAME_DAY_FIRST_USABLE_COMPLETE_POINT_TIMED_RUN,True
2024,7,Alexander Rossi,8ec48ba2-cd65-5a70-94b7-6bd93fe67f38,2,2024-05-18T20:37:01+00:00,3072c6a1-a1c0-561e-a338-3e9b559cea21,2024-05-18T17:53:59+00:00,232.962000,233.069000,0.107000,163.033,SAME_DAY_FIRST_USABLE_COMPLETE_POINT_TIMED_RUN,True
