fused_decision_id,source_decision_id,regime,year,car_number,driver_name,decision_time_utc,source_attempt_id,source_attempt_id_status,source_attempt_link_status,source_entry_key,source_car_attempt_index,observed_action,observed_action_resolved,observed_action_quality,current_result_speed_mph,benchmark_type,benchmark_rank,benchmark_speed_mph,later_attempt_count,next_attempt_exists,next_attempt_id,next_attempt_index,next_attempt_class,next_attempt_result_status,next_attempt_time_utc,next_attempt_time_evidence_class,next_attempt_complete_four_lap,next_attempt_speed_mph,next_attempt_speed_delta_vs_current_mph,next_attempt_improved_current,next_attempt_met_decision_time_benchmark,any_later_complete_attempt_exists,best_later_complete_speed_mph,best_later_complete_met_decision_time_benchmark,session_end_counted_result_from_later_attempt,r4p5_crosscheck_available,r4p5_after_attempt_id,r4p5_match_next_attempt_id,historical_outcome_evaluable,historical_outcome_status,future_information_used_for_r4f8h,queue_wait_claimed
DAY1::DAY1_2021_47_POST_FIRST_ATTEMPT,DAY1_2021_47_POST_FIRST_ATTEMPT,DAY1,2021,47,Conor Daly,2021-05-22T17:49:06+00:00,11be8bd4-5c39-5bd2-b24f-b6c87f0d885a,RESOLVED_CANONICAL_ATTEMPT_ID,RESOLVED_CANONICAL_ATTEMPT,INDY500_DAY1_2021|CAR_47|1,1,REATTEMPT_SEMANTICS_UNRESOLVED,False,PARTIAL,230.427,FAST_NINE_ADVANCEMENT,9.0,230.708,1,True,fb947c1e-3d51-506f-bbbc-12ecbcdce5da,2,A_COMPLETE,VALID_RETAINED,2021-05-22T19:55:55Z,APPROXIMATE_POINT,True,230.273,-0.15399999999999636,False,False,True,230.273,False,True,True,fb947c1e-3d51-506f-bbbc-12ecbcdce5da,True,True,NEXT_ATTEMPT_COMPLETE_SPEED_OBSERVED,False,False
DAY1::DAY1_2021_5_POST_FIRST_ATTEMPT,DAY1_2021_5_POST_FIRST_ATTEMPT,DAY1,2021,5,Pato O'Ward,2021-05-22T17:30:46+00:00,258b87c8-7f46-5d1a-b0b9-73c0b2a871dc,RESOLVED_CANONICAL_ATTEMPT_ID,RESOLVED_CANONICAL_ATTEMPT,INDY500_DAY1_2021|CAR_5|1,1,STOP,True,HIGH,230.864,FAST_NINE_ADVANCEMENT,9.0,230.708,0,False,,,,,,,False,,,,,False,,,False,False,,,True,OBSERVED_NO_LATER_CANONICAL_ATTEMPT,False,False
DAY1::DAY1_2021_51_POST_FIRST_ATTEMPT,DAY1_2021_51_POST_FIRST_ATTEMPT,DAY1,2021,51,Pietro Fittipaldi,2021-05-22T17:06:36+00:00,98202c3a-5d68-52fe-91b3-2d520c933594,RESOLVED_CANONICAL_ATTEMPT_ID,RESOLVED_CANONICAL_ATTEMPT,INDY500_DAY1_2021|CAR_51|1,1,STOP,True,HIGH,230.846,FAST_NINE_ADVANCEMENT,9.0,230.557,0,False,,,,,,,False,,,,,False,,,False,False,,,True,OBSERVED_NO_LATER_CANONICAL_ATTEMPT,False,False
DAY1::DAY1_2021_59_POST_FIRST_ATTEMPT,DAY1_2021_59_POST_FIRST_ATTEMPT,DAY1,2021,59,Max Chilton,2021-05-22T17:39:56+00:00,a73699bb-b202-59f3-a140-bd7e85f00aff,RESOLVED_CANONICAL_ATTEMPT_ID,RESOLVED_CANONICAL_ATTEMPT,INDY500_DAY1_2021|CAR_59|1,1,STOP,True,HIGH,229.417,FAST_NINE_ADVANCEMENT,9.0,230.708,0,False,,,,,,,False,,,,,False,,,False,False,,,True,OBSERVED_NO_LATER_CANONICAL_ATTEMPT,False,False
DAY1::DAY1_2021_60_POST_FIRST_ATTEMPT,DAY1_2021_60_POST_FIRST_ATTEMPT,DAY1,2021,60,Jack Harvey,2021-05-22T17:58:16+00:00,7d5d82b7-9765-51c9-b149-cb7de00d3905,RESOLVED_CANONICAL_ATTEMPT_ID,RESOLVED_CANONICAL_ATTEMPT,INDY500_DAY1_2021|CAR_60|1,1,REATTEMPT_SEMANTICS_UNRESOLVED,False,PARTIAL,225.496,FAST_NINE_ADVANCEMENT,9.0,230.708,1,True,8ff02437-bce9-5d86-b3c7-906d93963538,2,A_COMPLETE,VALID_RETAINED,2021-05-22T19:02:24Z,APPROXIMATE_POINT,True,230.191,4.694999999999993,True,False,True,230.191,False,True,True,8ff02437-bce9-5d86-b3c7-906d93963538,True,True,NEXT_ATTEMPT_COMPLETE_SPEED_OBSERVED,False,False
DAY1::DAY1_2021_7_POST_FIRST_ATTEMPT,DAY1_2021_7_POST_FIRST_ATTEMPT,DAY1,2021,7,Felix Rosenqvist,2021-05-22T17:35:46+00:00,4bfd7a23-3f35-5bcf-9655-c286d7ee30ed,RESOLVED_CANONICAL_ATTEMPT_ID,RESOLVED_CANONICAL_ATTEMPT,INDY500_DAY1_2021|CAR_7|1,1,REATTEMPT_SEMANTICS_UNRESOLVED,False,PARTIAL,230.498,FAST_NINE_ADVANCEMENT,9.0,230.708,1,True,595096e7-98a7-552c-a5f8-f2f3eeb54d68,2,A_COMPLETE,VALID_RETAINED,2021-05-22T21:21:31Z,APPROXIMATE_POINT,True,230.744,0.24600000000000932,True,True,True,230.744,True,True,True,595096e7-98a7-552c-a5f8-f2f3eeb54d68,True,True,NEXT_ATTEMPT_COMPLETE_SPEED_OBSERVED,False,False
DAY1::DAY1_2021_75_POST_FIRST_ATTEMPT,DAY1_2021_75_POST_FIRST_ATTEMPT,DAY1,2021,75,RC Enerson,2021-05-22T18:40:48+00:00,d676bd2f-154f-5e4b-aaf0-c7335ff329dd,RESOLVED_CANONICAL_ATTEMPT_ID,RESOLVED_CANONICAL_ATTEMPT,INDY500_DAY1_2021|CAR_75|1,1,REATTEMPT_SEMANTICS_UNRESOLVED,False,PARTIAL,227.283,FAST_NINE_ADVANCEMENT,9.0,230.864,1,True,9ef8122c-6313-510b-9d16-813050842537,2,B_PARTIAL_COMPLETE_LAPS,UNKNOWN,2021-05-22T21:42:43Z,APPROXIMATE_POINT,False,,,,,False,,,False,False,,,True,NEXT_ATTEMPT_EXISTS_BUT_NOT_COMPLETE_FOUR_LAP,False,False
DAY1::DAY1_2021_8_POST_FIRST_ATTEMPT,DAY1_2021_8_POST_FIRST_ATTEMPT,DAY1,2021,8,Marcus Ericsson,2021-05-22T18:21:37+00:00,8706f570-3435-5de5-89d4-8c45a08fd99c,RESOLVED_CANONICAL_ATTEMPT_ID,RESOLVED_CANONICAL_ATTEMPT,INDY500_DAY1_2021|CAR_8|1,1,STOP,True,HIGH,231.104,FAST_NINE_ADVANCEMENT,9.0,230.864,0,False,,,,,,,False,,,,,False,,,False,False,,,True,OBSERVED_NO_LATER_CANONICAL_ATTEMPT,False,False
DAY1::DAY1_2021_86_POST_FIRST_ATTEMPT,DAY1_2021_86_POST_FIRST_ATTEMPT,DAY1,2021,86,Juan Pablo Montoya,2021-05-22T17:11:36+00:00,11bd473d-0cf3-56e2-9aa9-fb4487870c59,RESOLVED_CANONICAL_ATTEMPT_ID,RESOLVED_CANONICAL_ATTEMPT,INDY500_DAY1_2021|CAR_86|1,1,REATTEMPT_SEMANTICS_UNRESOLVED,False,PARTIAL,229.891,FAST_NINE_ADVANCEMENT,9.0,230.557,1,True,f39f497a-d8a0-55e6-8bd1-ef646a4f6e71,2,A_COMPLETE,VALID_RETAINED,2021-05-22T21:02:45Z,APPROXIMATE_POINT,True,229.737,-0.15399999999999636,False,False,True,229.737,False,True,True,f39f497a-d8a0-55e6-8bd1-ef646a4f6e71,True,True,NEXT_ATTEMPT_COMPLETE_SPEED_OBSERVED,False,False
DAY1::DAY1_2023_10_POST_FIRST_ATTEMPT,DAY1_2023_10_POST_FIRST_ATTEMPT,DAY1,2023,10,Alex Palou,2023-05-20T17:05:46+00:00,096ff05c-1785-53cf-be2f-65bbb6ce7cd1,RESOLVED_CANONICAL_ATTEMPT_ID,RESOLVED_CANONICAL_ATTEMPT,INDY500_DAY1_2023|CAR_10|1,1,STOP,True,HIGH,233.398,TOP_12_ADVANCEMENT,12.0,231.273,0,False,,,,,,,False,,,,,False,,,False,False,,,True,OBSERVED_NO_LATER_CANONICAL_ATTEMPT,False,False
DAY1::DAY1_2023_11_POST_FIRST_ATTEMPT,DAY1_2023_11_POST_FIRST_ATTEMPT,DAY1,2023,11,Takuma Sato,2023-05-20T16:51:32+00:00,55b6b39a-d64a-5a38-9dbc-84a9faac294b,RESOLVED_CANONICAL_ATTEMPT_ID,RESOLVED_CANONICAL_ATTEMPT,INDY500_DAY1_2023|CAR_11|1,1,REATTEMPT_SEMANTICS_UNRESOLVED,False,PARTIAL,232.857,TOP_12_ADVANCEMENT,12.0,227.72,1,True,dd0ff96a-0d57-5ba5-8691-ebf2359edec4,2,A_COMPLETE,VALID_RETAINED,2023-05-20T19:48:58Z,APPROXIMATE_POINT,True,233.322,0.4650000000000034,True,True,True,233.322,True,True,True,dd0ff96a-0d57-5ba5-8691-ebf2359edec4,True,True,NEXT_ATTEMPT_COMPLETE_SPEED_OBSERVED,False,False
DAY1::DAY1_2023_14_POST_FIRST_ATTEMPT,DAY1_2023_14_POST_FIRST_ATTEMPT,DAY1,2023,14,Santino Ferrucci,2023-05-20T17:01:01+00:00,cda49858-f649-523a-85fb-8d53847f80bf,RESOLVED_CANONICAL_ATTEMPT_ID,RESOLVED_CANONICAL_ATTEMPT,INDY500_DAY1_2023|CAR_14|1,1,STOP,True,HIGH,233.147,TOP_12_ADVANCEMENT,12.0,231.129,0,False,,,,,,,False,,,,,False,,,False,False,,,True,OBSERVED_NO_LATER_CANONICAL_ATTEMPT,False,False
DAY1::DAY1_2023_27_POST_FIRST_ATTEMPT,DAY1_2023_27_POST_FIRST_ATTEMPT,DAY1,2023,27,Kyle Kirkwood,2023-05-20T17:14:58+00:00,dda33fdd-49c8-5082-a03d-252bf1a6fa49,RESOLVED_CANONICAL_ATTEMPT_ID,RESOLVED_CANONICAL_ATTEMPT,INDY500_DAY1_2023|CAR_27|1,1,REATTEMPT_SEMANTICS_UNRESOLVED,False,PARTIAL,232.39,TOP_12_ADVANCEMENT,12.0,232.39,2,True,f9f206a7-b2ab-5eb9-8805-0d279c65164d,2,A_COMPLETE,RETIRED,2023-05-20T19:17:10Z,APPROXIMATE_POINT,True,232.617,0.22700000000000387,True,True,True,232.662,True,True,True,f9f206a7-b2ab-5eb9-8805-0d279c65164d,True,True,NEXT_ATTEMPT_COMPLETE_SPEED_OBSERVED,False,False
DAY1::DAY1_2023_44_POST_FIRST_ATTEMPT,DAY1_2023_44_POST_FIRST_ATTEMPT,DAY1,2023,44,Katherine Legge,2023-05-20T17:19:59+00:00,939cb422-2442-550d-9cc5-80f8c372c5d7,RESOLVED_CANONICAL_ATTEMPT_ID,RESOLVED_CANONICAL_ATTEMPT,INDY500_DAY1_2023|CAR_44|1,1,STOP,True,HIGH,231.07,TOP_12_ADVANCEMENT,12.0,232.39,0,False,,,,,,,False,,,,,False,,,False,False,,,True,OBSERVED_NO_LATER_CANONICAL_ATTEMPT,False,False
LAST_CHANCE::2021_24_POST_GUARANTEED_BREAK,2021_24_POST_GUARANTEED_BREAK,LAST_CHANCE,2021,24,Sage Karam,,101338,RESOLVED_OFFICIAL_SESSION_DETAIL_ID_BY_EXACT_STATE_SPEED,UNRESOLVED_SOURCE_ATTEMPT,,,STOP,True,HIGH,229.156,LAST_CHANCE_SURVIVAL_BUBBLE,3.0,228.353,,,,,,,,,,,,,,,,,,False,,,False,BLOCKED_SOURCE_ATTEMPT_UNRESOLVED,False,False
LAST_CHANCE::2021_12_POST_GUARANTEED_BREAK,2021_12_POST_GUARANTEED_BREAK,LAST_CHANCE,2021,12,Will Power,,101339,RESOLVED_OFFICIAL_SESSION_DETAIL_ID_BY_EXACT_STATE_SPEED,UNRESOLVED_SOURCE_ATTEMPT,,,STOP,True,HIGH,228.876,LAST_CHANCE_SURVIVAL_BUBBLE,3.0,228.353,,,,,,,,,,,,,,,,,,False,,,False,BLOCKED_SOURCE_ATTEMPT_UNRESOLVED,False,False
LAST_CHANCE::2021_16_POST_GUARANTEED_BREAK,2021_16_POST_GUARANTEED_BREAK,LAST_CHANCE,2021,16,Simona De Silvestro,,101340,RESOLVED_OFFICIAL_SESSION_DETAIL_ID_BY_EXACT_STATE_SPEED,UNRESOLVED_SOURCE_ATTEMPT,,,STOP,True,HIGH,228.353,LAST_CHANCE_SURVIVAL_BUBBLE,3.0,228.353,,,,,,,,,,,,,,,,,,False,,,False,BLOCKED_SOURCE_ATTEMPT_UNRESOLVED,False,False
LAST_CHANCE::2021_75_POST_GUARANTEED_BREAK,2021_75_POST_GUARANTEED_BREAK,LAST_CHANCE,2021,75,RC Enerson,,,UNRESOLVED_WITHOUT_SAFE_ATTEMPT_LEVEL_JOIN,UNRESOLVED_SOURCE_ATTEMPT,,,REATTEMPT,True,HIGH,,LAST_CHANCE_SURVIVAL_BUBBLE,3.0,228.353,,,,,,,,,,,,,,,,,,False,,,False,BLOCKED_SOURCE_ATTEMPT_UNRESOLVED,False,False
LAST_CHANCE::2021_11_POST_GUARANTEED_BREAK,2021_11_POST_GUARANTEED_BREAK,LAST_CHANCE,2021,11,Charlie Kimball,,,UNRESOLVED_WITHOUT_SAFE_ATTEMPT_LEVEL_JOIN,UNRESOLVED_SOURCE_ATTEMPT,,,REATTEMPT,True,HIGH,,LAST_CHANCE_SURVIVAL_BUBBLE,3.0,228.353,,,,,,,,,,,,,,,,,,False,,,False,BLOCKED_SOURCE_ATTEMPT_UNRESOLVED,False,False
LAST_CHANCE::2023_45_POST_GUARANTEED_BREAK,2023_45_POST_GUARANTEED_BREAK,LAST_CHANCE,2023,45,Christian Lundgaard,,108667,RESOLVED_OFFICIAL_SESSION_DETAIL_ID_BY_EXACT_STATE_SPEED,UNRESOLVED_SOURCE_ATTEMPT,,,STOP,True,HIGH,229.649,LAST_CHANCE_SURVIVAL_BUBBLE,3.0,229.159,,,,,,,,,,,,,,,,,,False,,,False,BLOCKED_SOURCE_ATTEMPT_UNRESOLVED,False,False
LAST_CHANCE::2023_51_POST_GUARANTEED_BREAK,2023_51_POST_GUARANTEED_BREAK,LAST_CHANCE,2023,51,Sting Ray Robb,,108668,RESOLVED_OFFICIAL_SESSION_DETAIL_ID_BY_EXACT_STATE_SPEED,UNRESOLVED_SOURCE_ATTEMPT,,,STOP,True,HIGH,229.549,LAST_CHANCE_SURVIVAL_BUBBLE,3.0,229.159,,,,,,,,,,,,,,,,,,False,,,False,BLOCKED_SOURCE_ATTEMPT_UNRESOLVED,False,False
LAST_CHANCE::2023_15_POST_GUARANTEED_BREAK,2023_15_POST_GUARANTEED_BREAK,LAST_CHANCE,2023,15,Graham Rahal,,108670,RESOLVED_OFFICIAL_SESSION_DETAIL_ID_BY_EXACT_STATE_SPEED,UNRESOLVED_SOURCE_ATTEMPT,,,STOP,True,HIGH,229.159,LAST_CHANCE_SURVIVAL_BUBBLE,3.0,229.159,,,,,,,,,,,,,,,,,,False,,,False,BLOCKED_SOURCE_ATTEMPT_UNRESOLVED,False,False
LAST_CHANCE::2023_30_POST_GUARANTEED_BREAK,2023_30_POST_GUARANTEED_BREAK,LAST_CHANCE,2023,30,Jack Harvey,,,UNRESOLVED_WITHOUT_SAFE_ATTEMPT_LEVEL_JOIN,UNRESOLVED_SOURCE_ATTEMPT,,,REATTEMPT,True,HIGH,,LAST_CHANCE_SURVIVAL_BUBBLE,3.0,229.159,,,,,,,,,,,,,,,,,,False,,,False,BLOCKED_SOURCE_ATTEMPT_UNRESOLVED,False,False
LAST_CHANCE::2024_18_FINAL_DECISION,2024_18_FINAL_DECISION,LAST_CHANCE,2024,18,Nolan Siegel,,113317,RESOLVED_OFFICIAL_SESSION_DETAIL_ID_BY_EXACT_STATE_SPEED,UNRESOLVED_SOURCE_ATTEMPT,,,REATTEMPT,True,HIGH,229.566,LAST_CHANCE_SURVIVAL_BUBBLE,3.0,229.974,,,,,,,,,,,,,,,,,,False,,,False,BLOCKED_SOURCE_ATTEMPT_UNRESOLVED,False,False
