fused_decision_id,year,driver,regime,action,scenario_count,scenario_minutes,aggregation_semantics,p_reattempt_completed_min,p_reattempt_completed_max,p_final_result_exists_min,p_final_result_exists_max,p_no_final_result_min,p_no_final_result_max,p_final_result_meets_or_exceeds_decision_benchmark_min,p_final_result_meets_or_exceeds_decision_benchmark_max,p_final_result_worse_than_current_min,p_final_result_worse_than_current_max,expected_final_result_speed_conditional_mph_min,expected_final_result_speed_conditional_mph_max
DAY1::DAY1_2021_12_POST_FIRST_ATTEMPT,2021,Will Power,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,7,5|10|15|20|30|45|60,SENSITIVITY_MIN_MAX_NOT_PROBABILITY_WEIGHTED,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0968,0.4158,1.0,229.25064588616567,229.27331306600843
DAY1::DAY1_2021_14_POST_FIRST_ATTEMPT,2021,Sebastien Bourdais,DAY1,RETAIN_AND_REATTEMPT,7,5|10|15|20|30|45|60,SENSITIVITY_MIN_MAX_NOT_PROBABILITY_WEIGHTED,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.01235,0.0,0.0,229.744,229.8134590224985
DAY1::DAY1_2021_14_POST_FIRST_ATTEMPT,2021,Sebastien Bourdais,DAY1,STOP,7,5|10|15|20|30|45|60,SENSITIVITY_MIN_MAX_NOT_PROBABILITY_WEIGHTED,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,229.744,229.744
DAY1::DAY1_2021_14_POST_FIRST_ATTEMPT,2021,Sebastien Bourdais,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,7,5|10|15|20|30|45|60,SENSITIVITY_MIN_MAX_NOT_PROBABILITY_WEIGHTED,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0119,0.86175,1.0,228.66610227263067,228.70291602545842
DAY1::DAY1_2021_15_POST_FIRST_ATTEMPT,2021,Graham Rahal,DAY1,RETAIN_AND_REATTEMPT,7,5|10|15|20|30|45|60,SENSITIVITY_MIN_MAX_NOT_PROBABILITY_WEIGHTED,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.61165,0.0,0.0,230.521,231.17928407836771
DAY1::DAY1_2021_15_POST_FIRST_ATTEMPT,2021,Graham Rahal,DAY1,STOP,7,5|10|15|20|30|45|60,SENSITIVITY_MIN_MAX_NOT_PROBABILITY_WEIGHTED,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,230.521,230.521
DAY1::DAY1_2021_15_POST_FIRST_ATTEMPT,2021,Graham Rahal,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,7,5|10|15|20|30|45|60,SENSITIVITY_MIN_MAX_NOT_PROBABILITY_WEIGHTED,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.60815,0.32315,1.0,230.96063426253832,230.98586395401733
DAY1::DAY1_2021_16_POST_FIRST_ATTEMPT,2021,Simona De Silvestro,DAY1,RETAIN_AND_REATTEMPT,7,5|10|15|20|30|45|60,SENSITIVITY_MIN_MAX_NOT_PROBABILITY_WEIGHTED,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0157,0.0,0.0,228.173,228.90494940053253
DAY1::DAY1_2021_16_POST_FIRST_ATTEMPT,2021,Simona De Silvestro,DAY1,STOP,7,5|10|15|20|30|45|60,SENSITIVITY_MIN_MAX_NOT_PROBABILITY_WEIGHTED,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,228.173,228.173
DAY1::DAY1_2021_16_POST_FIRST_ATTEMPT,2021,Simona De Silvestro,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,7,5|10|15|20|30|45|60,SENSITIVITY_MIN_MAX_NOT_PROBABILITY_WEIGHTED,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.01565,0.28015,1.0,228.7209736682358,228.75150677885867
DAY1::DAY1_2021_1_POST_FIRST_ATTEMPT,2021,JR Hildebrand,DAY1,RETAIN_AND_REATTEMPT,7,5|10|15|20|30|45|60,SENSITIVITY_MIN_MAX_NOT_PROBABILITY_WEIGHTED,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.11325,0.0,0.0,229.97999999999996,230.13804628127116
DAY1::DAY1_2021_1_POST_FIRST_ATTEMPT,2021,JR Hildebrand,DAY1,STOP,7,5|10|15|20|30|45|60,SENSITIVITY_MIN_MAX_NOT_PROBABILITY_WEIGHTED,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,229.98,229.98
DAY1::DAY1_2021_1_POST_FIRST_ATTEMPT,2021,JR Hildebrand,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,7,5|10|15|20|30|45|60,SENSITIVITY_MIN_MAX_NOT_PROBABILITY_WEIGHTED,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.11555,0.73765,1.0,229.33237085507855,229.36206105513915
DAY1::DAY1_2021_20_POST_FIRST_ATTEMPT,2021,Ed Carpenter,DAY1,RETAIN_AND_REATTEMPT,7,5|10|15|20|30|45|60,SENSITIVITY_MIN_MAX_NOT_PROBABILITY_WEIGHTED,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,231.61600000000004,231.6596979302969
DAY1::DAY1_2021_20_POST_FIRST_ATTEMPT,2021,Ed Carpenter,DAY1,STOP,7,5|10|15|20|30|45|60,SENSITIVITY_MIN_MAX_NOT_PROBABILITY_WEIGHTED,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,231.616,231.616
DAY1::DAY1_2021_20_POST_FIRST_ATTEMPT,2021,Ed Carpenter,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,7,5|10|15|20|30|45|60,SENSITIVITY_MIN_MAX_NOT_PROBABILITY_WEIGHTED,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.3989,0.90805,1.0,230.30146597677748,230.31896952373876
DAY1::DAY1_2021_21_POST_FIRST_ATTEMPT,2021,Rinus VeeKay,DAY1,RETAIN_AND_REATTEMPT,7,5|10|15|20|30|45|60,SENSITIVITY_MIN_MAX_NOT_PROBABILITY_WEIGHTED,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,230.841,231.14825701768729
DAY1::DAY1_2021_21_POST_FIRST_ATTEMPT,2021,Rinus VeeKay,DAY1,STOP,7,5|10|15|20|30|45|60,SENSITIVITY_MIN_MAX_NOT_PROBABILITY_WEIGHTED,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,230.841,230.841
DAY1::DAY1_2021_21_POST_FIRST_ATTEMPT,2021,Rinus VeeKay,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,7,5|10|15|20|30|45|60,SENSITIVITY_MIN_MAX_NOT_PROBABILITY_WEIGHTED,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.80165,0.5877,1.0,230.57728555877733,230.6122715660086
DAY1::DAY1_2021_22_POST_FIRST_ATTEMPT,2021,Simon Pagenaud,DAY1,RETAIN_AND_REATTEMPT,7,5|10|15|20|30|45|60,SENSITIVITY_MIN_MAX_NOT_PROBABILITY_WEIGHTED,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.04555,0.0,0.0,229.778,229.9087636246039
DAY1::DAY1_2021_22_POST_FIRST_ATTEMPT,2021,Simon Pagenaud,DAY1,STOP,7,5|10|15|20|30|45|60,SENSITIVITY_MIN_MAX_NOT_PROBABILITY_WEIGHTED,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,229.778,229.778
DAY1::DAY1_2021_22_POST_FIRST_ATTEMPT,2021,Simon Pagenaud,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,7,5|10|15|20|30|45|60,SENSITIVITY_MIN_MAX_NOT_PROBABILITY_WEIGHTED,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.04545,0.7726,1.0,229.0462981671527,229.0653898745341
DAY1::DAY1_2021_26_POST_FIRST_ATTEMPT,2021,Colton Herta,DAY1,RETAIN_AND_REATTEMPT,7,5|10|15|20|30|45|60,SENSITIVITY_MIN_MAX_NOT_PROBABILITY_WEIGHTED,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,231.648,232.29394847098905
DAY1::DAY1_2021_26_POST_FIRST_ATTEMPT,2021,Colton Herta,DAY1,STOP,7,5|10|15|20|30|45|60,SENSITIVITY_MIN_MAX_NOT_PROBABILITY_WEIGHTED,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,231.648,231.648
DAY1::DAY1_2021_26_POST_FIRST_ATTEMPT,2021,Colton Herta,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,7,5|10|15|20|30|45|60,SENSITIVITY_MIN_MAX_NOT_PROBABILITY_WEIGHTED,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.89695,0.33325,1.0,232.06185371244547,232.08984567395993
DAY1::DAY1_2021_27_POST_FIRST_ATTEMPT,2021,Alexander Rossi,DAY1,RETAIN_AND_REATTEMPT,7,5|10|15|20|30|45|60,SENSITIVITY_MIN_MAX_NOT_PROBABILITY_WEIGHTED,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,231.046,231.35899067583318
DAY1::DAY1_2021_27_POST_FIRST_ATTEMPT,2021,Alexander Rossi,DAY1,STOP,7,5|10|15|20|30|45|60,SENSITIVITY_MIN_MAX_NOT_PROBABILITY_WEIGHTED,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,231.046,231.046
DAY1::DAY1_2021_27_POST_FIRST_ATTEMPT,2021,Alexander Rossi,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,7,5|10|15|20|30|45|60,SENSITIVITY_MIN_MAX_NOT_PROBABILITY_WEIGHTED,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.51575,0.56855,1.0,230.85933630896878,230.89944119513402
DAY1::DAY1_2021_2_POST_FIRST_ATTEMPT,2021,Josef Newgarden,DAY1,RETAIN_AND_REATTEMPT,7,5|10|15|20|30|45|60,SENSITIVITY_MIN_MAX_NOT_PROBABILITY_WEIGHTED,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,230.049,230.32566499909683
DAY1::DAY1_2021_2_POST_FIRST_ATTEMPT,2021,Josef Newgarden,DAY1,STOP,7,5|10|15|20|30|45|60,SENSITIVITY_MIN_MAX_NOT_PROBABILITY_WEIGHTED,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,230.049,230.049
DAY1::DAY1_2021_2_POST_FIRST_ATTEMPT,2021,Josef Newgarden,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,7,5|10|15|20|30|45|60,SENSITIVITY_MIN_MAX_NOT_PROBABILITY_WEIGHTED,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.6731,0.61875,1.0,229.72273106204653,229.74881972614278
