attempt_id,year,driver_key,driver_name,performance_time_utc,actual_speed_mph,reference_speed_mph,reference_residual_mph,session_elapsed_minutes,past_other_count,past_other_mean_residual_mph,past_other_median_residual_mph,past_other_ewma_10m_residual_mph,past_other_ewma_20m_residual_mph,past_other_ewma_30m_residual_mph,past_other_ewma_45m_residual_mph,past_other_recent_10m_count,past_other_recent_20m_count,past_other_recent_30m_count,past_other_recent_45m_count,own_prior_available,own_previous_residual_mph,own_previous_age_minutes,past_state_supported,past_state_n_ge_3,past_state_n_ge_5,ptsc_track_temp_c_past_safe,ptsc_track_temp_slope_c_per_min_past_safe,forecast_temp_c,forecast_relative_humidity_pct,forecast_wind_speed_10m_ms,forecast_pressure_hpa,forecast_gust_ms,forecast_cloud_cover_pct,forecast_shortwave_radiation_wm2,forecast_wind_direction_sin,forecast_wind_direction_cos
f50bf607-2eaa-51a1-a6d0-2049fcaf3dcd,2020,marco andretti,Marco Andretti,2020-08-15T17:14:05Z,231.351,233.491,-2.140000000000015,133.33333333333334,22,-0.8401818181818199,-0.8744999999999976,-1.4214326036358313,-1.17112763333244,-1.0574919687671969,-0.9805983677431459,1,2,3,6,0.0,0.0,0.0,True,True,True,50.0,0.07407407407407428,29.10209744771324,53.468809133639475,0.6523553384409545,987.4295833333332,0.9937763736169372,0.0,903.2861111111112,0.9092960053154349,0.4161499425896784
cbdbf766-10d3-516e-83ad-3cb56f8c02fb,2020,tony kanaan,Tony Kanaan,2020-08-15T17:19:05Z,229.154,229.946,-0.7920000000000016,138.33333333333334,23,-0.8966956521739153,-0.9550000000000125,-1.7037989349221023,-1.3764552981212983,-1.2155477486453996,-1.1028650275900944,2,2,3,6,0.0,0.0,0.0,True,True,True,50.55555555555556,0.03703703703703714,29.201394017537456,53.0246150809674,0.6436382784194163,987.4045833333332,0.9892836021155946,0.0,904.4527777777778,0.9014378515627477,0.4329085351086735
9ed5a76f-1d6e-5759-8ffc-9c1344b26bfc,2020,colton herta,Colton Herta,2020-08-15T17:24:05Z,230.56,231.595,-1.0349999999999966,143.33333333333334,24,-0.8923333333333355,-0.8744999999999976,-1.3780923910583827,-1.2588091402575023,-1.1559072071761392,-1.0710781576339428,2,3,4,6,0.0,0.0,0.0,True,True,True,50.55555555555556,0.03703703703703714,29.300690587361675,52.580421028295326,0.6349212183978782,987.3795833333334,0.9847908306142522,0.0,905.6194444444444,0.8932708642974155,0.4495188127290651
75519828-93ba-5485-a4bf-a06b93f7cec3,2020,max chilton,Max Chilton,2020-08-15T17:29:05Z,225.819,227.61,-1.7910000000000252,148.33333333333334,25,-0.8980400000000021,-0.9550000000000125,-1.262941764166542,-1.2155818473438096,-1.1394053238928097,-1.0674899860628577,2,4,4,6,0.0,0.0,0.0,True,True,True,50.55555555555556,0.03703703703703714,29.399987157185898,52.13622697562326,0.62620415837634,987.3545833333334,0.9802980591129096,0.0,906.7861111111112,0.8847978415374718,0.46597508475307026
f2f5d37e-6270-5e2d-8ae0-2e63cea098b3,2020,helio castroneves,Helio Castroneves,2020-08-15T17:34:05Z,228.115,228.451,-0.3359999999999843,153.33333333333334,26,-0.9323846153846183,-0.9869999999999948,-1.4329085786164943,-1.3230615489524529,-1.2259671975942028,-1.137669383811854,2,4,5,6,0.0,0.0,0.0,True,True,True,51.666666666666664,0.0740740740740738,29.336611684163437,53.02135671063407,0.7062880825456634,987.6431944444444,1.2484617188158964,0.0,909.6333333333332,0.941535662489711,0.3369133364235691
1a120ea2-c723-5585-8ec6-30169bb44ca7,2020,jr hildebrand,JR Hildebrand,2020-08-15T17:38:15Z,226.341,228.275,-1.9339999999999975,157.5,27,-0.9102962962962985,-0.9550000000000125,-1.0897881270409275,-1.14365906075418,-1.1104806591877887,-1.061647508873554,2,4,6,7,0.0,0.0,0.0,True,True,True,51.666666666666664,0.0740740740740738,29.42403182983401,52.60058148653203,0.6973318609909953,987.63625,1.266044217720628,0.0,911.3,0.9362808958368734,0.3512521659590186
e7089fb7-0048-5bb8-8589-cc5bbc59a6cd,2020,jack harvey,Jack Harvey,2020-08-15T17:55:45Z,229.757,231.6,-1.8429999999999893,175.0,27,-0.9175185185185205,-0.9550000000000125,-1.3384472385879214,-1.2801418789206294,-1.210678941876417,-1.1350851676220781,0,1,3,6,1.0,-1.7390000000000043,155.0,True,True,True,53.333333333333336,0.11111111111111142,29.791196441650417,50.833325545303495,0.6597157304613889,987.6070833333332,1.3398907131205002,0.0,918.3,0.9118416375694134,0.4105421147637969
33a57398-b346-53e3-b5e5-369a3ca71efc,2020,scott dixon,Scott Dixon,2020-08-15T18:00:45Z,231.053,232.29,-1.2369999999999948,180.0,28,-0.9699642857142875,-0.9869999999999948,-1.5895635256570846,-1.4168472982751308,-1.313334177206469,-1.217249532494133,1,1,3,6,1.0,-1.195999999999998,155.0,True,True,True,50.0,-0.22222222222222238,29.892552947998073,50.34268970241196,0.6517202646821766,987.59125,1.3683918686583638,0.0,919.15,0.9010032763090552,0.4338122820764165
25ddda12-052a-5d71-ac52-6e96cf8edab9,2020,marcus ericsson,Marcus Ericsson,2020-08-15T18:16:35Z,230.566,231.763,-1.1970000000000027,195.83333333333334,29,-0.9758965517241395,-1.018999999999977,-1.4439577472213236,-1.3769615079901174,-1.301490577674996,-1.2176435266544772,0,1,2,4,1.0,-1.2909999999999968,123.33333333333333,True,True,True,51.111111111111114,0.07407407407407428,30.14985427856448,49.04551506703226,0.6757844023759955,987.4065277777778,1.591473120264709,0.0,901.2055555555556,0.7888755835892055,0.614552938010055
893c5471-df02-55c0-946f-0af9d0a835d9,2020,ed carpenter,Ed Carpenter,2020-08-15T18:47:30Z,230.211,229.563,0.6480000000000246,226.75,30,-1.0345666666666689,-1.0275000000000034,-1.3077832878126816,-1.3365343836215513,-1.3049784777332112,-1.249124112730783,0,0,0,1,1.0,0.24800000000001887,140.08333333333334,True,True,True,50.55555555555556,-0.2222222222222219,30.598664855957058,49.19854736143741,0.4660636925232029,986.8791666666666,1.3492200014491875,0.0,870.9166666666666,0.26079573506123,0.9653940048363014
