decision_id,year,session_regime,driver_name,car_number,source_attempt_id,decision_time_utc,action,current_result_mph,current_rank,benchmark_type,benchmark_rank,benchmark_speed_mph,requires_wait_draw,requires_new_attempt,protected_result_retained,withdrawal_risk,wait_model_available
DAY1_2021_14_POST_FIRST_ATTEMPT,2021,DAY1,Sebastien Bourdais,14,da571070-dc03-5eb8-ac88-efd026c446d8,2021-05-22T18:35:48+00:00,RETAIN_AND_REATTEMPT,229.744,24,FAST_NINE_ADVANCEMENT,9,230.864,True,True,True,False,True
DAY1_2021_14_POST_FIRST_ATTEMPT,2021,DAY1,Sebastien Bourdais,14,da571070-dc03-5eb8-ac88-efd026c446d8,2021-05-22T18:35:48+00:00,WITHDRAW_AND_PRIORITY_REATTEMPT,229.744,24,FAST_NINE_ADVANCEMENT,9,230.864,True,True,False,True,True
DAY1_2021_15_POST_FIRST_ATTEMPT,2021,DAY1,Graham Rahal,15,696a641a-81d7-5a8c-842f-4f3170a4b8e4,2021-05-22T17:53:16+00:00,STOP,230.521,12,FAST_NINE_ADVANCEMENT,9,230.708,False,False,True,False,True
DAY1_2021_15_POST_FIRST_ATTEMPT,2021,DAY1,Graham Rahal,15,696a641a-81d7-5a8c-842f-4f3170a4b8e4,2021-05-22T17:53:16+00:00,RETAIN_AND_REATTEMPT,230.521,12,FAST_NINE_ADVANCEMENT,9,230.708,True,True,True,False,True
DAY1_2021_15_POST_FIRST_ATTEMPT,2021,DAY1,Graham Rahal,15,696a641a-81d7-5a8c-842f-4f3170a4b8e4,2021-05-22T17:53:16+00:00,WITHDRAW_AND_PRIORITY_REATTEMPT,230.521,12,FAST_NINE_ADVANCEMENT,9,230.708,True,True,False,True,True
DAY1_2021_16_POST_FIRST_ATTEMPT,2021,DAY1,Simona De Silvestro,16,8f660bff-74bd-551e-9007-95b730f87e7d,2021-05-22T18:26:36+00:00,STOP,228.173,29,FAST_NINE_ADVANCEMENT,9,230.864,False,False,True,False,True
DAY1_2021_16_POST_FIRST_ATTEMPT,2021,DAY1,Simona De Silvestro,16,8f660bff-74bd-551e-9007-95b730f87e7d,2021-05-22T18:26:36+00:00,RETAIN_AND_REATTEMPT,228.173,29,FAST_NINE_ADVANCEMENT,9,230.864,True,True,True,False,True
DAY1_2021_16_POST_FIRST_ATTEMPT,2021,DAY1,Simona De Silvestro,16,8f660bff-74bd-551e-9007-95b730f87e7d,2021-05-22T18:26:36+00:00,WITHDRAW_AND_PRIORITY_REATTEMPT,228.173,29,FAST_NINE_ADVANCEMENT,9,230.864,True,True,False,True,True
DAY1_2021_2_POST_FIRST_ATTEMPT,2021,DAY1,Josef Newgarden,2,c4c9ba22-d28c-5937-b36c-72fffbbb67b5,2021-05-22T16:39:06+00:00,STOP,230.049,7,FAST_NINE_ADVANCEMENT,9,229.261,False,False,True,False,True
DAY1_2021_2_POST_FIRST_ATTEMPT,2021,DAY1,Josef Newgarden,2,c4c9ba22-d28c-5937-b36c-72fffbbb67b5,2021-05-22T16:39:06+00:00,RETAIN_AND_REATTEMPT,230.049,7,FAST_NINE_ADVANCEMENT,9,229.261,True,True,True,False,True
DAY1_2021_2_POST_FIRST_ATTEMPT,2021,DAY1,Josef Newgarden,2,c4c9ba22-d28c-5937-b36c-72fffbbb67b5,2021-05-22T16:39:06+00:00,WITHDRAW_AND_PRIORITY_REATTEMPT,230.049,7,FAST_NINE_ADVANCEMENT,9,229.261,True,True,False,True,True
DAY1_2021_20_POST_FIRST_ATTEMPT,2021,DAY1,Ed Carpenter,20,bcd24d81-7b19-5290-b6d7-b3ce5ce41195,2021-05-22T17:25:46+00:00,STOP,231.616,3,FAST_NINE_ADVANCEMENT,9,230.563,False,False,True,False,True
DAY1_2021_20_POST_FIRST_ATTEMPT,2021,DAY1,Ed Carpenter,20,bcd24d81-7b19-5290-b6d7-b3ce5ce41195,2021-05-22T17:25:46+00:00,RETAIN_AND_REATTEMPT,231.616,3,FAST_NINE_ADVANCEMENT,9,230.563,True,True,True,False,True
DAY1_2021_20_POST_FIRST_ATTEMPT,2021,DAY1,Ed Carpenter,20,bcd24d81-7b19-5290-b6d7-b3ce5ce41195,2021-05-22T17:25:46+00:00,WITHDRAW_AND_PRIORITY_REATTEMPT,231.616,3,FAST_NINE_ADVANCEMENT,9,230.563,True,True,False,True,True
DAY1_2021_21_POST_FIRST_ATTEMPT,2021,DAY1,Rinus VeeKay,21,407a503c-1695-5af6-9b88-28e9d802c8d1,2021-05-22T16:43:16+00:00,STOP,230.841,5,FAST_NINE_ADVANCEMENT,9,229.714,False,False,True,False,True
DAY1_2021_21_POST_FIRST_ATTEMPT,2021,DAY1,Rinus VeeKay,21,407a503c-1695-5af6-9b88-28e9d802c8d1,2021-05-22T16:43:16+00:00,RETAIN_AND_REATTEMPT,230.841,5,FAST_NINE_ADVANCEMENT,9,229.714,True,True,True,False,True
DAY1_2021_21_POST_FIRST_ATTEMPT,2021,DAY1,Rinus VeeKay,21,407a503c-1695-5af6-9b88-28e9d802c8d1,2021-05-22T16:43:16+00:00,WITHDRAW_AND_PRIORITY_REATTEMPT,230.841,5,FAST_NINE_ADVANCEMENT,9,229.714,True,True,False,True,True
DAY1_2021_22_POST_FIRST_ATTEMPT,2021,DAY1,Simon Pagenaud,22,5f22f207-f450-5086-ab38-14fe980d9fed,2021-05-22T18:07:26+00:00,STOP,229.778,20,FAST_NINE_ADVANCEMENT,9,230.708,False,False,True,False,True
DAY1_2021_22_POST_FIRST_ATTEMPT,2021,DAY1,Simon Pagenaud,22,5f22f207-f450-5086-ab38-14fe980d9fed,2021-05-22T18:07:26+00:00,RETAIN_AND_REATTEMPT,229.778,20,FAST_NINE_ADVANCEMENT,9,230.708,True,True,True,False,True
DAY1_2021_22_POST_FIRST_ATTEMPT,2021,DAY1,Simon Pagenaud,22,5f22f207-f450-5086-ab38-14fe980d9fed,2021-05-22T18:07:26+00:00,WITHDRAW_AND_PRIORITY_REATTEMPT,229.778,20,FAST_NINE_ADVANCEMENT,9,230.708,True,True,False,True,True
DAY1_2021_26_POST_FIRST_ATTEMPT,2021,DAY1,Colton Herta,26,e9da8645-6367-51bf-8601-3670e9e76c5e,2021-05-22T18:12:27+00:00,STOP,231.648,2,FAST_NINE_ADVANCEMENT,9,230.841,False,False,True,False,True
DAY1_2021_26_POST_FIRST_ATTEMPT,2021,DAY1,Colton Herta,26,e9da8645-6367-51bf-8601-3670e9e76c5e,2021-05-22T18:12:27+00:00,RETAIN_AND_REATTEMPT,231.648,2,FAST_NINE_ADVANCEMENT,9,230.841,True,True,True,False,True
DAY1_2021_26_POST_FIRST_ATTEMPT,2021,DAY1,Colton Herta,26,e9da8645-6367-51bf-8601-3670e9e76c5e,2021-05-22T18:12:27+00:00,WITHDRAW_AND_PRIORITY_REATTEMPT,231.648,2,FAST_NINE_ADVANCEMENT,9,230.841,True,True,False,True,True
