year,driver_name,driver_key,car_number,reference_speed_mph,reference_type,reference_priority,source_quality,source_type,source_url,source_file,extraction_method,model_role,provenance_note,pdf_position,pdf_lap_time
2022,Colton Herta,colton herta,26,220.640,GENERAL_FAST_FRIDAY_BEST_SPEED,1,VERY_HIGH,OFFICIAL_RESULTS_PDF,https://www.imscdn.com/INDYCAR/Documents/6031/2022-05-20/indycar-results-p5.pdf,r4/evidence/fast_friday/r4f6j/2022_fast_friday_practice5_results.pdf,PDFTOTEXT_CROSSCHECK_OFFICIAL_SESSION_API,CORE_DEVELOPMENT,Official session fastest-lap result; not interpreted as a no-tow lap or four-lap average.,33,00:40.7904
2022,Conor Daly,conor daly,20,230.589,GENERAL_FAST_FRIDAY_BEST_SPEED,1,VERY_HIGH,OFFICIAL_RESULTS_PDF,https://www.imscdn.com/INDYCAR/Documents/6031/2022-05-20/indycar-results-p5.pdf,r4/evidence/fast_friday/r4f6j/2022_fast_friday_practice5_results.pdf,PDFTOTEXT_CROSSCHECK_OFFICIAL_SESSION_API,CORE_DEVELOPMENT,Official session fastest-lap result; not interpreted as a no-tow lap or four-lap average.,14,00:39.0304
2022,Dalton Kellett,dalton kellett,4,227.157,GENERAL_FAST_FRIDAY_BEST_SPEED,1,VERY_HIGH,OFFICIAL_RESULTS_PDF,https://www.imscdn.com/INDYCAR/Documents/6031/2022-05-20/indycar-results-p5.pdf,r4/evidence/fast_friday/r4f6j/2022_fast_friday_practice5_results.pdf,PDFTOTEXT_CROSSCHECK_OFFICIAL_SESSION_API,CORE_DEVELOPMENT,Official session fastest-lap result; not interpreted as a no-tow lap or four-lap average.,23,00:39.6201
2022,David Malukas,david malukas,18,230.287,FOUR_LAP_QUALIFYING_SIM,3,VERY_HIGH,OFFICIAL_EDITORIAL_HTML,https://www.indycar.com/news/2022/05/05-20-practice,r4/evidence/fast_friday/r4f6j/2022_fast_friday_official_editorial.html,EXPLICIT_VERIFIED_STATEMENT,CORE_DEVELOPMENT,Official editorial explicitly reports 230.287 mph on the qualifying-simulation chart.,,
2022,David Malukas,david malukas,18,231.414,GENERAL_FAST_FRIDAY_BEST_SPEED,1,VERY_HIGH,OFFICIAL_RESULTS_PDF,https://www.imscdn.com/INDYCAR/Documents/6031/2022-05-20/indycar-results-p5.pdf,r4/evidence/fast_friday/r4f6j/2022_fast_friday_practice5_results.pdf,PDFTOTEXT_CROSSCHECK_OFFICIAL_SESSION_API,CORE_DEVELOPMENT,Official session fastest-lap result; not interpreted as a no-tow lap or four-lap average.,7,00:38.8913
2022,Devlin DeFrancesco,devlin defrancesco,29,226.697,GENERAL_FAST_FRIDAY_BEST_SPEED,1,VERY_HIGH,OFFICIAL_RESULTS_PDF,https://www.imscdn.com/INDYCAR/Documents/6031/2022-05-20/indycar-results-p5.pdf,r4/evidence/fast_friday/r4f6j/2022_fast_friday_practice5_results.pdf,PDFTOTEXT_CROSSCHECK_OFFICIAL_SESSION_API,CORE_DEVELOPMENT,Official session fastest-lap result; not interpreted as a no-tow lap or four-lap average.,25,00:39.7006
2022,Ed Carpenter,ed carpenter,33,228.334,GENERAL_FAST_FRIDAY_BEST_SPEED,1,VERY_HIGH,OFFICIAL_RESULTS_PDF,https://www.imscdn.com/INDYCAR/Documents/6031/2022-05-20/indycar-results-p5.pdf,r4/evidence/fast_friday/r4f6j/2022_fast_friday_practice5_results.pdf,PDFTOTEXT_CROSSCHECK_OFFICIAL_SESSION_API,CORE_DEVELOPMENT,Official session fastest-lap result; not interpreted as a no-tow lap or four-lap average.,22,00:39.4160
2022,Felix Rosenqvist,felix rosenqvist,7,231.493,GENERAL_FAST_FRIDAY_BEST_SPEED,1,VERY_HIGH,OFFICIAL_RESULTS_PDF,https://www.imscdn.com/INDYCAR/Documents/6031/2022-05-20/indycar-results-p5.pdf,r4/evidence/fast_friday/r4f6j/2022_fast_friday_practice5_results.pdf,PDFTOTEXT_CROSSCHECK_OFFICIAL_SESSION_API,CORE_DEVELOPMENT,Official session fastest-lap result; not interpreted as a no-tow lap or four-lap average.,6,00:38.8781
2022,Graham Rahal,graham rahal,15,226.819,GENERAL_FAST_FRIDAY_BEST_SPEED,1,VERY_HIGH,OFFICIAL_RESULTS_PDF,https://www.imscdn.com/INDYCAR/Documents/6031/2022-05-20/indycar-results-p5.pdf,r4/evidence/fast_friday/r4f6j/2022_fast_friday_practice5_results.pdf,PDFTOTEXT_CROSSCHECK_OFFICIAL_SESSION_API,CORE_DEVELOPMENT,Official session fastest-lap result; not interpreted as a no-tow lap or four-lap average.,24,00:39.6792
2022,Helio Castroneves,helio castroneves,06,229.677,GENERAL_FAST_FRIDAY_BEST_SPEED,1,VERY_HIGH,OFFICIAL_RESULTS_PDF,https://www.imscdn.com/INDYCAR/Documents/6031/2022-05-20/indycar-results-p5.pdf,r4/evidence/fast_friday/r4f6j/2022_fast_friday_practice5_results.pdf,PDFTOTEXT_CROSSCHECK_OFFICIAL_SESSION_API,CORE_DEVELOPMENT,Official session fastest-lap result; not interpreted as a no-tow lap or four-lap average.,19,00:39.1854
